TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
00VP,15703,32008D10,19NOV2015,30DEC2016,1
01AB,16342,G0084W10,17NOV2016,30DEC2016,1
01AF,16347,01387210,17NOV2016,30DEC2016,1
AA,24643,02224910,15JAN1976,03JAN1999,1
AA,24643,01381710,14JAN1999,05OCT2016,1
AA,24643,01381750,20OCT2016,31OCT2016,1
AA,24643,03965L10,17NOV2016,30DEC2016,1
AAL,63845,01447610,15JAN1976,21FEB1997,1
AAPL,14593,03783310,20AUG1981,30DEC2016,1
AAPS,89217,00751Y10,17JAN2002,30DEC2016,1
ABA,15843,02406910,15JUL1976,04DEC1986,1
ABBV,13721,00287Y10,02JAN2013,30DEC2016,1
ABC,10233,02473510,15JAN1976,03JAN1986,1
ABK,76757,02313910,15AUG1991,08NOV2010,1
ABK,,,16DEC2010,17JUL2013,6
ABK,13919,02313988,18JUL2013,30DEC2016,1
ABS,50032,01310410,15JAN1976,01JUN2006,1
ABT,20482,00282410,15JAN1976,30DEC2016,1
ABW,19764,04208310,17AUG1978,22AUG1990,1
ABW,,,16MAY1991,02FEB1996,6
ABXF,71298,02451E10,19DEC1985,17JAN1995,1
ABXF,71298,06790110,19JAN1995,30DEC2016,1
AC,10241,02484310,15JAN1976,27APR1987,1
AC,10241,74158710,14MAY1987,15DEC1988,1
ACAD,85631,05276910,16JAN1986,30DEC2016,1
ACAS,85271,02493710,15JAN1998,07JUL2008,1
ACAS,85271,02503Y10,17JUL2008,30DEC2016,1
ACAS,,,19JAN2017,,6
ACCO,59248,21701610,17JUN1976,08FEB2005,1
ACCO,59248,60871R20,17FEB2005,30DEC2016,1
ACK,19692,04247610,16MAY1980,01MAY2000,1
ACK,19692,04238410,18MAY2000,04NOV2002,1
ACK,,,14NOV2002,02APR2007,6
ACL1,79057,G0070K10,17JUN1993,17JUL2008,1
ACL1,79057,H0023R10,14AUG2008,14JAN2016,1
ACL1,79057,H1467J10,18FEB2016,30DEC2016,1
ACLM,,,16OCT2003,18AUG2004,6
ACLM,90335,01964550,13SEP2004,23FEB2011,1
ACNT,89071,G1150G11,20SEP2001,31AUG2009,1
ACNT,89071,G1151C10,17SEP2009,30DEC2016,1
ACSA,80913,00819010,19JAN1995,05FEB2010,1
ACV,42083,01306810,20JUL1978,16NOV2006,1
ACV,42083,01307810,14DEC2006,10MAY2011,1
ACY,23341,02532110,15JAN1976,22NOV1994,1
AD,10487,03217710,15JAN1976,02JUN1986,1
ADBE,75510,00724F10,16OCT1986,30DEC2016,1
ADCO,11042,00791120,17MAR1988,13AUG1989,1
ADCO,11042,50182K10,17AUG1989,14SEP1993,1
ADCO,11042,50182L10,14OCT1993,25MAY1995,1
ADCO,11042,98155K10,15JUN1995,14SEP1998,1
ADCO,11042,55268B10,17SEP1998,03MAY2000,1
ADCO,11042,98157D10,18MAY2000,29JUL2002,1
ADCO,,,15AUG2002,31DEC2009,6
ADCT,50906,00088610,08APR1985,09MAY2005,1
ADCT,50906,00088630,19MAY2005,09DEC2010,1
ADI,60871,03265410,15JAN1976,30DEC2016,1
ADM,10516,03948310,15JUL1976,30DEC2016,1
ADPT,10353,00651F10,11JUN1986,22JUN2010,1
ADPT,10353,00101B10,15JUL2010,04OCT2011,1
ADPT,10353,85812210,20OCT2011,18JUN2014,1
ADPT,10353,85812220,19JUN2014,31MAR2016,1
ADTT,13567,00101J10,01OCT2012,29APR2016,1
AEL,29102,03505410,17DEC1980,27AUG1986,1
AEL,29102,03505310,18SEP1986,06MAR1989,1
AEL,29102,62956810,16MAR1989,25JUN2002,1
AEL,29102,G6359F10,18JUL2002,30DEC2016,1
AEP,24109,02553710,15JAN1976,30DEC2016,1
AESC,76712,00130H10,16JAN1992,30DEC2016,1
AET,46850,00814010,15JAN1976,21JUL1996,1
AET,46850,00811710,15AUG1996,13DEC2000,1
AET,88845,00817Y10,18JAN2001,30DEC2016,1
AFCC,83440,04600810,16MAY1996,01DEC2000,1
AFL,57904,02587010,15APR1976,01JAN1992,1
AFL,57904,00105510,16JAN1992,30DEC2016,1
AGA,70308,00936310,19DEC1986,20MAY2016,1
AGC,48397,02635710,15JAN1976,16APR1980,4
AGC,48397,02635110,01JUL1980,28AUG2001,1
AGLT,15553,04775310,20OCT1977,06MAR1996,1
AGLT,15553,00120410,14MAR1996,30JUN2016,1
AGM,24555,02277110,20JUL1978,03NOV1982,1
AGN,75646,01849010,27JUL1989,16MAR2015,1
AGRE,13056,02637510,15JAN1976,08AUG2013,1
AH,10153,01964510,15JAN1976,17MAR1988,1
AHA,45911,02075310,20SEP1979,25JUN2002,1
AHA,45911,83088M10,18JUL2002,30DEC2016,1
AHC,28484,02355110,15JAN1976,08MAY2006,1
AHC,28484,42809H10,18MAY2006,30DEC2016,1
AHM,56266,00867710,15JAN1976,01OCT1998,1
AHP,15667,02660910,15JAN1976,10MAR2002,1
AHP,15667,98302410,14MAR2002,15OCT2009,1
AHS,27190,02668110,15JAN1976,25NOV1985,1
AIC,21194,02687910,20JUL1978,04DEC1980,1
AIG,66800,02687410,15JAN1976,30JUN2009,1
AIG,66800,02687478,16JUL2009,30DEC2016,1
AIN,18980,00172310,03JAN1979,31JUL1983,1
AIT,65859,02680410,16FEB1984,28APR1991,1
AIT,65859,03095410,16MAY1991,08OCT1999,1
AIV,80711,03748R10,15DEC1994,30DEC2016,1
AIZI,90038,04621X10,19FEB2004,30DEC2016,1
AJGC,38093,36357610,18OCT1984,30DEC2016,1
AKAM,87299,00971T10,16DEC1999,30DEC2016,1
AKST,80303,00154710,16JUN1994,30DEC2016,1
AL,24264,01371610,15JAN1976,14NOV2007,1
ALB1,80191,01265310,17MAR1994,30DEC2016,1
ALD,48733,01441910,15JAN1976,14MAR1976,5
ALD,10145,01908710,28APR1981,14MAR1984,5
ALD,10145,01951210,19SEP1985,01DEC1999,1
ALD,10145,43851610,16DEC1999,30DEC2016,1
ALEE,14297,G0176J10,19DEC2013,30DEC2016,1
ALEE,,,20APR2017,,6
ALG,29196,04123710,24NOV1981,11MAY1994,1
ALG,29196,65541910,19MAY1994,06AUG1997,1
ALGN,88860,01625510,15MAR2001,30DEC2016,1
ALK,28804,01166210,15JUN1978,13FEB1985,5
ALK,28804,01165910,23MAY1985,30DEC2016,1
ALL1,79323,02000210,17JUN1993,30DEC2016,1
ALS,17304,01951910,15JAN1976,30DEC1986,1
ALS,75002,01690010,08MAY1987,17JUN1987,5
ALS1,75002,01690010,18JUN1987,15AUG1996,1
ALS1,43123,01741510,19SEP1996,29NOV1999,1
ALS1,43123,01741R10,16DEC1999,30DEC2016,1
ALTR,75577,02144110,31MAR1988,24DEC2015,1
ALXN,83111,01535110,18APR1996,30DEC2016,1
AM,18980,00172320,19DEC1985,19MAY1993,1
AM,80071,62544010,19JUN1997,27JAN2000,1
AMAT,14702,03822210,18MAY1978,30DEC2016,1
AMB,10225,02470310,15JAN1976,01JUN1997,1
AMB,10225,34963110,19JUN1997,03OCT2011,1
AMB,10225,07373010,20OCT2011,30APR2014,1
AMBP,85592,00163T10,19FEB1998,02JUN2011,1
AMBP,85592,74340W10,16JUN2011,30DEC2016,1
AMCC,85522,03822W10,15JAN1998,10DEC2007,1
AMCC,85522,03822W40,20DEC2007,30DEC2016,1
AMD,61241,00790310,15JAN1976,30DEC2016,1
AME,10460,03110510,15JAN1976,31JUL1997,1
AMER,77418,02364J10,14MAY1992,11JAN2001,1
AMER,77418,00184A10,18JAN2001,15OCT2003,1
AMER,77418,88731710,16OCT2003,29MAR2009,1
AMER,77418,88731730,16APR2009,30DEC2016,1
AMF,15763,00168810,15JAN1976,03OCT1985,1
AMG,85593,00825210,15JAN1998,30DEC2016,1
AMGN,14008,03116210,17NOV1983,30DEC2016,1
AMH,60046,02390510,18MAY1978,18SEP1997,1
AMI,46754,02742910,15JAN1976,12APR1990,1
AMI1,76190,02742810,14MAY1992,01MAR1995,1
AMO,10321,02762710,15JAN1976,05AUG1987,1
AMO,81022,01852M10,19SEP2002,29NOV2007,1
AMP,27051,03189710,15JAN1976,01APR1999,1
AMPW,90880,03076C10,03OCT2005,30DEC2016,1
AMR,21020,02377110,15JAN1976,14APR1982,5
AMR,21020,00176510,01OCT1982,08DEC2013,1
AMR,21020,02376R10,19DEC2013,30DEC2016,1
AMSG,85676,03232P20,18DEC1997,19MAY1999,1
AMSG,85675,03232P10,20MAY1999,12JUL2001,1
AMSG,85675,03232P40,19JUL2001,01DEC2016,1
AMSG,85675,29414D10,15DEC2016,30DEC2016,1
AMT,10057,00462610,20OCT1977,02JUL1996,1
AMT2,86111,02991220,16JUL1998,02JAN2012,1
AMT2,86111,03027X10,19JAN2012,30DEC2016,1
AMX,10161,02312710,15JAN1976,15NOV1993,1
AMZN,84788,02313510,19JUN1997,30DEC2016,1
AN,10102,00929210,15JAN1976,14APR1976,5
AN,19553,03190510,24APR1985,31DEC1998,1
ANDW,14323,03442510,20AUG1981,27DEC2007,1
ANF,83976,00289620,14NOV1996,30DEC2016,1
ANR,24141,02860910,15JAN1976,15MAY1985,1
ANRI,90547,02076X10,17FEB2005,15JUL2015,1
ANRI,,,20AUG2015,,6
ANSS,83621,03662Q10,15AUG1996,30DEC2016,1
AOVG,93002,Y0486S10,17SEP2009,31JAN2016,1
AOVG,93002,Y0982710,18FEB2016,30DEC2016,1
APA,39490,03741110,16JUN1977,30DEC2016,1
APC,70332,03251110,02OCT1986,30DEC2016,1
APCC,11970,02906610,18MAY1989,14FEB2007,1
APD,28222,00915810,15JAN1976,30DEC2016,1
APH1,77118,03209420,16JAN1992,19MAY1997,1
APH1,84769,03209510,19JUN1997,30DEC2016,1
APOL,81138,03760410,19JAN1995,30DEC2016,1
AR,10364,04341310,15JAN1976,17NOV1999,1
ARC,10604,04882510,15JAN1976,17APR2000,1
ARE1,84767,01527110,17JUL1997,30DEC2016,1
AS,17566,04219510,15JAN1976,19MAY1976,5
AS,17566,04217010,03JUL1978,30SEP1999,1
ASA,26649,00205010,16APR1981,30NOV1990,1
ASAB,26649,00205010,16OCT2003,21NOV2004,1
ASAB,26649,G3156P10,16DEC2004,01FEB2016,1
ASC,44652,03009610,27JUL1979,23JUN1999,1
ASC9,17558,03009510,15JUL1976,26JUL1979,1
ASD,81285,02971210,16MAR1995,27NOV2007,1
ASD,81285,89289310,20DEC2007,05JUN2008,1
ASD1,89002,01858110,16AUG2001,30DEC2016,1
ASH,24272,04454010,15JAN1976,29JAN1995,1
ASH,24272,04420410,16FEB1995,30JUN2005,1
ASH,24272,04420910,14JUL2005,19SEP2016,1
ASH,24272,04418610,20OCT2016,30DEC2016,1
ASHC,81540,03071P10,18MAY1995,29AUG2001,1
ASHC,81540,03073E10,18OCT2001,30DEC2016,1
ASN,48514,01378810,20OCT1977,26JAN1997,1
ASN,48514,45171310,20FEB1997,31OCT2008,1
ASND,80506,04349110,14JUL1994,24JUN1999,1
ASO,62770,03216510,20APR1981,03NOV2006,1
ASR9,10479,03217210,15JAN1976,08FEB1984,1
AST,10372,02971710,15JAN1976,01JUL1988,1
AT,41443,02003910,26OCT1983,16NOV2007,1
AT1,87432,00846U10,16DEC1999,30DEC2016,1
ATHI,89179,03674B10,15NOV2001,30NOV2004,1
ATHI,89179,94973V10,16DEC2004,02DEC2014,1
ATHI,89179,03675210,18DEC2014,30DEC2016,1
AUD,44644,05301510,15JAN1976,30DEC2016,1
AVA,88587,05349910,19OCT2000,25OCT2007,1
AVN,79894,05346910,19MAY1994,04JUN1998,1
AVN,80381,05337310,18JUN1998,04OCT1998,1
AVN,80381,05348410,15OCT1998,30DEC2016,1
AVP,40416,05430310,15JAN1976,30DEC2016,1
AVSN,10701,58445V10,16AUG1988,16JAN1989,1
AVSN,10701,58445V20,16FEB1989,28MAR1991,1
AVSN,79678,00493020,22OCT1993,09JUL2008,1
AVSN,79678,00507V10,17JUL2008,30DEC2016,1
AVSN,,,20APR2017,,6
AVY,44601,05362710,15JAN1976,14OCT1990,1
AVY,44601,05361110,15NOV1990,30DEC2016,1
AWE,87831,00195740,18MAY2000,06JUL2001,1
AWE,89001,00209A10,19JUL2001,26OCT2004,1
AWIN,76887,01958930,18JAN1996,05DEC2008,1
AWKC,92614,03042010,15MAY2008,30DEC2016,1
AXP,59176,02581610,15JAN1976,30DEC2016,1
AYI,89216,00508Y10,20DEC2001,30DEC2016,1
AYP,10137,01741110,15JAN1976,30SEP1997,1
AYP,10137,01736110,16OCT1997,25FEB2011,1
AYZS,81540,03071P10,04APR1995,19APR1995,5
AZA,64856,02261510,08JUN1983,22JUN2001,1
AZO,76605,05333210,16MAY1991,30DEC2016,1
AZP,27991,04055510,15JAN1976,28APR1985,1
AZP,27991,00246010,16MAY1985,26APR1987,1
AZP,27991,72348410,14MAY1987,30DEC2016,1
BA,19561,09702310,15JAN1976,30DEC2016,1
BAC,58827,06605010,15JAN1976,30SEP1998,1
BARL,11415,06830610,19NOV1987,22DEC2008,1
BAX,27887,07189210,04MAY1976,17MAY1988,1
BAX,27887,07181310,16JUN1988,30DEC2016,1
BBBY,77659,07589610,16JUL1992,30DEC2016,1
BBF,61284,06805510,15JAN1976,09JAN1998,1
BBK,27836,09677910,18JAN1979,30APR1983,1
BBL,44273,09529310,15JAN1976,27NOV1984,1
BBUY,85914,08651610,18APR1985,30DEC2016,1
BC,10874,11704310,15JAN1976,30DEC2016,1
BC,,,20APR2017,,6
BCC,42024,09738310,15JAN1976,31OCT2004,1
BCC,42024,67622P10,18NOV2004,05NOV2013,1
BCMP,52230,09946710,12MAY1978,16JUN1987,1
BCMP,52230,77032310,16JUL1987,30DEC2016,1
BCR,46877,06738310,15JAN1976,30DEC2016,1
BCW,16651,07587310,01MAY1985,04FEB1988,1
BDK,20220,09179710,15JAN1976,12MAR2010,1
BDX,39642,07588710,15JAN1976,30DEC2016,1
BEC,75383,07581610,04NOV1988,02APR1998,1
BEC,75383,07581110,16APR1998,29JUN2011,1
BEL,50534,07745510,15JUL1976,10DEC1980,5
BEL,65875,07785310,16FEB1984,02JUL2000,1
BEL,65875,92343V10,20JUL2000,30DEC2016,1
BEV,47992,08785110,18JAN1979,03DEC1997,1
BEV,85640,08785130,18DEC1997,14MAR2006,1
BF,18331,11883510,15JAN1976,25APR1978,1
BFD,29938,11563710,17JUN1976,30APR1987,1
BFD1,29946,11563720,15SEP1983,30DEC2016,1
BFI,53786,11588510,15JAN1976,30JUL1999,1
BG,10866,11565710,19AUG1976,27MAY1999,1
BG,10866,11573610,17JUN1999,28MAY2015,1
BG,10866,12950010,18JUN2015,30DEC2016,1
BGE,24221,05916510,15JAN1976,02MAY1999,1
BGE,24221,21037110,20MAY1999,12MAR2012,1
BGEN,11983,09059710,22MAR1983,12NOV2003,1
BGG,17961,10904310,15JAN1976,30DEC2016,1
BGH,10890,12278110,15JAN1976,09NOV1986,1
BGH,10890,90921410,20NOV1986,25OCT2009,1
BGH,10890,90921430,19NOV2009,30DEC2016,1
BHI1,75034,05722410,24APR1987,30DEC2016,1
BJS,76240,05548210,18OCT1990,28APR2010,1
BK,49656,06405710,14SEP1978,01JUL2007,1
BK,49656,06405810,19JUL2007,30DEC2016,1
BKB,51772,06071610,04APR1983,27APR1997,1
BKB,51772,06605R10,15MAY1997,30SEP1999,1
BKHT,17778,08467010,20OCT1988,30DEC2016,1
BKHT/1,83443,08467020,16JUL1998,20JAN2010,1
BKHT/1,83443,08467070,18FEB2010,30DEC2016,1
BKI,57488,07726610,15JAN1976,31DEC1987,1
BKO,28134,05726410,29JAN1976,03APR1987,1
BLK,62519,09368010,16APR1981,23SEP1987,1
BLK,62519,29271910,15OCT1987,01JUN1994,1
BLK,62519,29271940,16JUN1994,25MAY1995,1
BLK,62519,26874Q10,15JUN1995,22DEC2009,1
BLK,93159,29358Q10,14JAN2010,21MAY2012,1
BLK,93159,G3157S10,14JUN2012,30DEC2016,1
BLKI,87267,09247X10,14OCT1999,30DEC2016,1
BLL,57568,05849810,15JAN1976,30DEC2016,1
BLS,65883,07986010,16FEB1984,29DEC2006,1
BLY,58480,05873210,15JUN1978,17MAY1994,1
BLY,58480,05873C10,16JUN1994,18DEC1996,1
BMCS,11976,05592110,20OCT1988,10SEP2013,1
BMET,18092,09061310,20DEC1984,25SEP2007,1
BMGC,85869,07159310,19DEC1985,10JAN2001,1
BMS,43772,08143710,15JAN1976,30DEC2016,1
BMY,19393,11009710,15JAN1976,03OCT1989,1
BMY,19393,11012210,19OCT1989,30DEC2016,1
BN,16571,09959910,15JAN1976,14MAR1995,1
BNI,50227,12189710,15JAN1976,21SEP1995,1
BNI,50227,12189T10,19OCT1995,12FEB2010,1
BNL,19377,08172110,15JAN1976,30JUN1998,1
BNS,42606,11522310,20JUL1978,29APR2001,1
BNS,42606,05596130,17MAY2001,08FEB2002,1
BNS,,,14FEB2002,15SEP2009,6
BOAT,18551,09665010,19JUN1980,06JAN1997,1
BOL,26518,07170710,15JAN1976,26OCT2007,1
BOR,17590,09972510,15JAN1976,30JUL1987,1
BOR1,78851,09973310,18MAR1993,06JUL1999,1
BOR1,78851,12237410,15JUL1999,08SEP2000,1
BR,75333,12201410,08JUL1988,31MAR2006,1
BRCM,85963,11132010,14MAY1998,29JAN2016,1
BRK,50737,11185310,15JAN1976,29FEB1988,1
BRNO,19589,11688110,20JUL1978,17AUG1995,1
BRY,17953,07407710,15JAN1976,17APR1986,1
BS,10786,08750910,15JAN1976,11JUN2002,1
BS,,,20JUN2002,31DEC2005,6
BSC1,68304,07390210,15MAY1986,30MAY2008,1
BSE,25144,10059910,15JAN1976,20MAY1998,1
BSE,25144,05538M10,18JUN1998,24AUG1999,1
BSE,87146,67019E10,27SEP1999,09APR2012,1
BSET,17137,07020310,15JAN1976,30DEC2016,1
BSX,77605,10113710,18JUN1992,30DEC2016,1
BT,48354,06636510,15JAN1976,03JUN1999,1
BTU,60054,74724310,16DEC1981,31JUL1989,1
BTU,88991,70454910,23MAY2001,18JUL2001,5
BU,10823,11425910,14OCT1976,29SEP1997,1
BU,10823,49337510,16OCT1997,29MAY1998,1
BUD,59184,03522910,01OCT1979,17NOV2008,1
BUR3,20677,12169110,15JAN1976,03SEP1987,1
BUR3,77465,12169010,18JUN1992,03FEB1994,1
BUR3,77465,12169310,17FEB1994,14NOV2001,1
BUR3,,,20DEC2001,10SEP2003,6
BVSN,83630,11141210,18JUL1996,29JUL2002,1
BVSN,83630,11141260,15AUG2002,26OCT2008,1
BVSN,83630,11141270,20NOV2008,30DEC2016,1
BWA,79545,09972410,18NOV1993,30DEC2016,1
BWN,29911,11533110,17AUG1978,28OCT1980,1
BXLT,15401,07177M10,01JUL2015,02JUN2016,1
BXP,85058,10112110,17JUL1997,30DEC2016,1
BYA,80381,07201210,19MAY1994,04JUN1998,1
