gvkey,conm,tic,cusip,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001010,ACF INDUSTRIES HOLDING CORP,4165A,00099V004,C,00X,LU,10006,22156,19500501,19620130
001010,ACF INDUSTRIES HOLDING CORP,4165A,00099V004,P,01,LU,10006,22156,19620131,19840628
001013,ADC TELECOMMUNICATIONS INC,ADCT,000886309,P,01,LU,50906,2902,19790316,20101231
001040,AMF INC,AMF.2,001688100,P,01,LU,15763,22631,19620131,19851031
001040,AMF INC,AMF.2,001688100,C,00X,LU,15763,22631,19500101,19620130
001043,MULTIGRAPHICS INC,MTI.3,625440102,C,01,LC,18980,20009,19620131,19820427
001043,MULTIGRAPHICS INC,MTI.3,625440102,C,00X,LC,18980,20009,19501230,19620130
001043,MULTIGRAPHICS INC,MTI.3,625440102,C,01,LC,18980,20009,19840510,19930519
001043,MULTIGRAPHICS INC,MTI.3,625440102,C,01,LC,80071,30061,19931206,20000127
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,P,01,LC,21020,20010,19620131,20120104
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,P,04,LC,21020,20010,20131209,E
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,C,00X,LC,21020,20010,19500101,19620130
001062,ASA GOLD AND PRECIOUS METALS,ASA,G3156P103,P,01,LU,26649,20015,19650129,E
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,P,01,LU,27991,21409,19620131,E
001078,ABBOTT LABORATORIES,ABT,002824100,C,00X,LC,20482,20017,19500101,19620130
001078,ABBOTT LABORATORIES,ABT,002824100,P,01,LC,20482,20017,19620131,E
001098,ACME-CLEVELAND CORP,AMT.1,004626107,C,01,LC,10057,20020,19680101,19960702
001133,ADMIRAL CORP,ADL.1,007158108,P,01,LU,22488,23147,19620131,19740430
001133,ADMIRAL CORP,ADL.1,007158108,C,00X,LU,22488,23147,19500101,19620130
001161,ADVANCED MICRO DEVICES,AMD,007903107,P,01,LU,61241,211,19721214,E
001164,MCI INC,MCIP,552691107,P,01,LC,11042,61,19801124,19860728
001164,MCI INC,MCIP,552691107,P,01,LC,11042,61,19860822,20020729
001164,MCI INC,MCIP,552691107,P,10,LC,90284,45424,20040714,20060106
001177,AETNA INC,AET,00817Y108,P,01,LC,46850,20026,19680924,20001213
001177,AETNA INC,AET,00817Y108,P,01,LC,88845,41072,20001214,E
001194,AHMANSON (H F) & CO,AHM.1,008677106,P,01,LU,56266,20028,19721214,19981030
