gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
001078,000003,19640331,,S&P 500 Comp-Ltd,I0003,ABBOTT LABORATORIES,ABT,002824100
001300,000003,19640331,,S&P 500 Comp-Ltd,I0003,HONEYWELL INTERNATIONAL INC,HON,438516106
001440,000003,19640331,,S&P 500 Comp-Ltd,I0003,AMERICAN ELECTRIC POWER CO,AEP,025537101
002285,000003,19640331,,S&P 500 Comp-Ltd,I0003,BOEING CO,BA,097023105
002403,000003,19640331,,S&P 500 Comp-Ltd,I0003,BRISTOL-MYERS SQUIBB CO,BMY,110122108
002663,000003,19640331,,S&P 500 Comp-Ltd,I0003,CAMPBELL SOUP CO,CPB,134429109
002817,000003,19640331,,S&P 500 Comp-Ltd,I0003,CATERPILLAR INC,CAT,149123101
002991,000003,19640331,,S&P 500 Comp-Ltd,I0003,CHEVRON CORP,CVX,166764100
003144,000003,19640331,,S&P 500 Comp-Ltd,I0003,COCA-COLA CO,KO,191216100
003170,000003,19640331,,S&P 500 Comp-Ltd,I0003,COLGATE-PALMOLIVE CO,CL,194162103
003413,000003,19640331,,S&P 500 Comp-Ltd,I0003,CONSOLIDATED EDISON INC,ED,209115104
003532,000003,19640331,,S&P 500 Comp-Ltd,I0003,CORNING INC,GLW,219350105
003835,000003,19640331,,S&P 500 Comp-Ltd,I0003,DEERE & CO,DE,244199105
003897,000003,19640331,,S&P 500 Comp-Ltd,I0003,DTE ENERGY CO,DTE,233331107
004029,000003,19640331,,S&P 500 Comp-Ltd,I0003,DOMINION ENERGY INC,D,25746U109
004060,000003,19640331,,S&P 500 Comp-Ltd,I0003,DOWDUPONT INC,DWDP,26078J100
004199,000003,19640331,,S&P 500 Comp-Ltd,I0003,EATON CORP PLC,ETN,G29183103
004503,000003,19640331,,S&P 500 Comp-Ltd,I0003,EXXON MOBIL CORP,XOM,30231G102
004839,000003,19640331,,S&P 500 Comp-Ltd,I0003,FORD MOTOR CO,F,345370860
005046,000003,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL DYNAMICS CORP,GD,369550108
005047,000003,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL ELECTRIC CO,GE,369604103
005234,000003,19640331,,S&P 500 Comp-Ltd,I0003,GOODYEAR TIRE & RUBBER CO,GT,382550101
