TICKER,CUSIP,OFTIC,CNAME,ACTDATS,ANALYS,FPI,MEASURE,VALUE,FPEDATS
AA,02224910,AA,ALCOA,19980709,000478,6,EPS,0.675,19980930
AA,01381710,AA,ALCOA INC.,19990409,000297,6,EPS,0.75,19990630
AA,01381710,AA,ALCOA INC.,19991011,056581,6,EPS,1.41,19991231
AA,01381710,AA,ALCOA INC.,20010212,000610,6,EPS,1.32,20010331
AA,01381710,AA,ALCOA INC.,20011031,040316,6,EPS,1.05,20011231
AA,01381710,AA,ALCOA INC.,20020109,000478,6,EPS,0.87,20020331
AA,01381710,AA,ALCOA INC.,20021120,017860,6,EPS,0.72,20021231
AA,01381710,AA,ALCOA INC.,20030115,000478,6,EPS,0.66,20030331
AA,01381710,AA,ALCOA INC.,20030424,000478,6,EPS,0.75,20030630
AA,01381710,AA,ALCOA INC.,20030709,000478,6,EPS,0.75,20030930
AA,01381710,AA,ALCOA INC.,20031008,000478,6,EPS,0.87,20031231
AA,01381710,AA,ALCOA INC.,20040211,000478,6,EPS,1.26,20040331
AA,01381710,AA,ALCOA INC.,20040402,020310,6,EPS,1.17,20040331
AA,01381710,AA,ALCOA INC.,20040405,080731,6,EPS,1.26,20040331
AA,01381710,AA,ALCOA INC.,20040408,000478,6,EPS,1.41,20040630
AA,01381710,AA,ALCOA INC.,20040408,020310,6,EPS,1.5,20040630
AA,01381710,AA,ALCOA INC.,20040518,080731,6,EPS,1.38,20040630
AA,01381710,AA,ALCOA INC.,20040708,080731,6,EPS,1.5,20040930
AA,01381710,AA,ALCOA INC.,20040708,000478,6,EPS,1.38,20040930
AA,01381710,AA,ALCOA INC.,20040825,000478,6,EPS,1.14,20040930
AA,01381710,AA,ALCOA INC.,20040831,048907,6,EPS,1.14,20040930
AA,01381710,AA,ALCOA INC.,20040831,018826,6,EPS,1.14,20040930
AA,01381710,AA,ALCOA INC.,20040910,077011,6,EPS,1.17,20040930
AA,01381710,AA,ALCOA INC.,20040913,084627,6,EPS,1.32,20040930
AA,01381710,AA,ALCOA INC.,20040913,021126,6,EPS,1.29,20040930
AA,01381710,AA,ALCOA INC.,20040920,020310,6,EPS,1.14,20040930
AA,01381710,AA,ALCOA INC.,20050407,000478,6,EPS,2.01,20050630
AA,01381710,AA,ALCOA INC.,20050524,000478,6,EPS,1.89,20050630
AA,01381710,AA,ALCOA INC.,20050711,076852,6,EPS,1.2,20050930
AA,01381710,AA,ALCOA INC.,20050713,093327,6,EPS,1.02,20050930
AA,01381710,AA,ALCOA INC.,20050923,093327,6,EPS,0.915,20050930
AA,01381710,AA,ALCOA INC.,20060110,052285,6,EPS,1.548,20060331
