Date,Price,Open,High,Low,Vol.,Change %
2019-10-01,"1,809.00","1,809.00","1,809.00","1,809.00",-,-0.77%
2019-09-30,"1,823.00","1,823.00","1,823.00","1,823.00",-,-1.83%
2019-09-27,"1,857.00","1,857.00","1,857.00","1,857.00",-,-5.40%
2019-09-26,"1,963.00","1,963.00","1,963.00","1,963.00",-,-4.38%
2019-09-25,"2,053.00","2,053.00","2,053.00","2,053.00",-,-2.98%
2019-09-24,"2,116.00","2,116.00","2,116.00","2,116.00",-,0.38%
2019-09-23,"2,108.00","2,108.00","2,108.00","2,108.00",-,-1.08%
2019-09-20,"2,131.00","2,131.00","2,131.00","2,131.00",-,-2.78%
2019-09-19,"2,192.00","2,192.00","2,192.00","2,192.00",-,-3.27%
2019-09-18,"2,266.00","2,266.00","2,266.00","2,266.00",-,-0.74%
2019-09-17,"2,283.00","2,283.00","2,283.00","2,283.00",-,-1.21%
2019-09-16,"2,311.00","2,311.00","2,311.00","2,311.00",-,-0.04%
2019-09-13,"2,312.00","2,312.00","2,312.00","2,312.00",-,-0.82%
2019-09-12,"2,331.00","2,331.00","2,331.00","2,331.00",-,-1.48%
2019-09-11,"2,366.00","2,366.00","2,366.00","2,366.00",-,-1.13%
2019-09-10,"2,393.00","2,393.00","2,393.00","2,393.00",-,-1.20%
2019-09-09,"2,422.00","2,422.00","2,422.00","2,422.00",-,-1.62%
2019-09-06,"2,462.00","2,462.00","2,462.00","2,462.00",-,-1.48%
2019-09-05,"2,499.00","2,499.00","2,499.00","2,499.00",-,-0.75%
2019-09-04,"2,518.00","2,518.00","2,518.00","2,518.00",-,0.68%
2019-09-03,"2,501.00","2,501.00","2,501.00","2,501.00",-,2.42%
2019-09-02,"2,442.00","2,442.00","2,442.00","2,442.00",-,2.69%
2019-08-30,"2,378.00","2,378.00","2,378.00","2,378.00",-,4.44%
2019-08-29,"2,277.00","2,277.00","2,277.00","2,277.00",-,0.44%
2019-08-28,"2,267.00","2,267.00","2,267.00","2,267.00",-,2.44%
2019-08-27,"2,213.00","2,213.00","2,213.00","2,213.00",-,2.08%
2019-08-23,"2,168.00","2,168.00","2,168.00","2,168.00",-,2.36%
2019-08-22,"2,118.00","2,118.00","2,118.00","2,118.00",-,2.77%
2019-08-21,"2,061.00","2,061.00","2,061.00","2,061.00",-,0.10%
2019-08-20,"2,059.00","2,059.00","2,059.00","2,059.00",-,-0.39%
2019-08-19,"2,067.00","2,067.00","2,067.00","2,067.00",-,-1.01%
2019-08-16,"2,088.00","2,088.00","2,088.00","2,088.00",-,2.00%
2019-08-15,"2,047.00","2,047.00","2,047.00","2,047.00",-,4.97%
2019-08-14,"1,950.00","1,950.00","1,950.00","1,950.00",-,4.61%
2019-08-13,"1,864.00","1,864.00","1,864.00","1,864.00",-,5.07%
2019-08-12,"1,774.00","1,774.00","1,774.00","1,774.00",-,1.49%
2019-08-09,"1,748.00","1,748.00","1,748.00","1,748.00",-,1.63%
2019-08-08,"1,720.00","1,720.00","1,720.00","1,720.00",-,0.47%
2019-08-07,"1,712.00","1,712.00","1,712.00","1,712.00",-,-1.27%
2019-08-06,"1,734.00","1,734.00","1,734.00","1,734.00",-,-2.25%
2019-08-05,"1,774.00","1,774.00","1,774.00","1,774.00",-,-0.78%
2019-08-02,"1,788.00","1,788.00","1,788.00","1,788.00",-,-1.32%
2019-08-01,"1,812.00","1,812.00","1,812.00","1,812.00",-,-3.00%
2019-07-31,"1,868.00","1,868.00","1,868.00","1,868.00",-,-1.63%
2019-07-30,"1,899.00","1,899.00","1,899.00","1,899.00",-,-1.20%
2019-07-29,"1,922.00","1,922.00","1,922.00","1,922.00",-,-0.77%
2019-07-26,"1,937.00","1,937.00","1,937.00","1,937.00",-,-0.51%
2019-07-25,"1,947.00","1,947.00","1,947.00","1,947.00",-,-3.33%
2019-07-24,"2,014.00","2,014.00","2,014.00","2,014.00",-,-6.97%
2019-07-23,"2,165.00","2,165.00","2,165.00","2,165.00",-,-1.19%
2019-07-22,"2,191.00","2,191.00","2,191.00","2,191.00",-,0.97%
2019-07-19,"2,170.00","2,170.00","2,170.00","2,170.00",-,1.88%
2019-07-18,"2,130.00","2,130.00","2,130.00","2,130.00",-,3.20%
2019-07-17,"2,064.00","2,064.00","2,064.00","2,064.00",-,2.64%
2019-07-16,"2,011.00","2,011.00","2,011.00","2,011.00",-,4.30%
2019-07-15,"1,928.00","1,928.00","1,928.00","1,928.00",-,3.38%
2019-07-12,"1,865.00","1,865.00","1,865.00","1,865.00",-,2.70%
2019-07-11,"1,816.00","1,816.00","1,816.00","1,816.00",-,2.19%
2019-07-10,"1,777.00","1,777.00","1,777.00","1,777.00",-,1.02%
2019-07-09,"1,759.00","1,759.00","1,759.00","1,759.00",-,1.97%
2019-07-08,"1,725.00","1,725.00","1,725.00","1,725.00",-,-0.86%
2019-07-05,"1,740.00","1,740.00","1,740.00","1,740.00",-,2.35%
2019-07-04,"1,700.00","1,700.00","1,700.00","1,700.00",-,9.75%
2019-07-03,"1,549.00","1,549.00","1,549.00","1,549.00",-,7.12%
2019-07-02,"1,446.00","1,446.00","1,446.00","1,446.00",-,4.71%
2019-07-01,"1,381.00","1,381.00","1,381.00","1,381.00",-,1.99%
2019-06-28,"1,354.00","1,354.00","1,354.00","1,354.00",-,1.04%
2019-06-27,"1,340.00","1,340.00","1,340.00","1,340.00",-,1.75%
2019-06-26,"1,317.00","1,317.00","1,317.00","1,317.00",-,2.89%
2019-06-25,"1,280.00","1,280.00","1,280.00","1,280.00",-,1.75%
2019-06-24,"1,258.00","1,258.00","1,258.00","1,258.00",-,1.53%
2019-06-21,"1,239.00","1,239.00","1,239.00","1,239.00",-,3.77%
2019-06-20,"1,194.00","1,194.00","1,194.00","1,194.00",-,1.27%
2019-06-19,"1,179.00","1,179.00","1,179.00","1,179.00",-,3.88%
2019-06-18,"1,135.00","1,135.00","1,135.00","1,135.00",-,3.84%
2019-06-17,"1,093.00","1,093.00","1,093.00","1,093.00",-,0.74%
2019-06-14,"1,085.00","1,085.00","1,085.00","1,085.00",-,2.17%
2019-06-13,"1,062.00","1,062.00","1,062.00","1,062.00",-,-1.67%
2019-06-12,"1,080.00","1,080.00","1,080.00","1,080.00",-,-2.26%
2019-06-11,"1,105.00","1,105.00","1,105.00","1,105.00",-,-1.78%
2019-06-10,"1,125.00","1,125.00","1,125.00","1,125.00",-,-1.14%
2019-06-07,"1,138.00","1,138.00","1,138.00","1,138.00",-,0.00%
2019-06-06,"1,138.00","1,138.00","1,138.00","1,138.00",-,-0.26%
2019-06-05,"1,141.00","1,141.00","1,141.00","1,141.00",-,1.69%
2019-06-04,"1,122.00","1,122.00","1,122.00","1,122.00",-,1.72%
2019-06-03,"1,103.00","1,103.00","1,103.00","1,103.00",-,0.64%
2019-05-31,"1,096.00","1,096.00","1,096.00","1,096.00",-,-0.09%
2019-05-30,"1,097.00","1,097.00","1,097.00","1,097.00",-,-0.90%
2019-05-29,"1,107.00","1,107.00","1,107.00","1,107.00",-,2.31%
2019-05-28,"1,082.00","1,082.00","1,082.00","1,082.00",-,1.50%
2019-05-24,"1,066.00","1,066.00","1,066.00","1,066.00",-,-0.19%
2019-05-23,"1,068.00","1,068.00","1,068.00","1,068.00",-,0.85%
2019-05-22,"1,059.00","1,059.00","1,059.00","1,059.00",-,0.95%
2019-05-21,"1,049.00","1,049.00","1,049.00","1,049.00",-,0.77%
2019-05-20,"1,041.00","1,041.00","1,041.00","1,041.00",-,0.10%
2019-05-17,"1,040.00","1,040.00","1,040.00","1,040.00",-,0.78%
2019-05-16,"1,032.00","1,032.00","1,032.00","1,032.00",-,0.00%
2019-05-15,"1,032.00","1,032.00","1,032.00","1,032.00",-,-1.05%
2019-05-14,"1,043.00","1,043.00","1,043.00","1,043.00",-,1.66%
2019-05-13,"1,026.00","1,026.00","1,026.00","1,026.00",-,1.28%
2019-05-10,"1,013.00","1,013.00","1,013.00","1,013.00",-,4.00%
2019-05-09,974,974,974,974,-,3.62%
2019-05-08,940,940,940,940,-,0.43%
2019-05-07,936,936,936,936,-,-4.97%
2019-05-03,985,985,985,985,-,-4.55%
2019-05-02,"1,032.00","1,032.00","1,032.00","1,032.00",-,0.10%
2019-05-01,"1,031.00","1,031.00","1,031.00","1,031.00",-,1.98%
