Date,Price,Open,High,Low,Vol.,Change %
2019-11-07,42.8,44.71,44.71,42.59,-,-4.27%
2019-11-06,44.71,42.45,46.58,42.45,-,5.32%
2019-11-05,42.45,42.74,49.28,40.73,-,-0.68%
2019-11-04,42.74,44.64,45.4,40.15,-,-4.26%
2019-11-01,44.64,45.09,52.05,39.04,-,-1.00%
2019-10-31,45.09,42.35,46.6,42.35,-,6.47%
2019-10-30,42.35,49.96,49.96,40.26,-,-15.23%
2019-10-29,49.96,43.5,51.04,42.78,-,14.59%
2019-10-28,43.6,44.1,49.29,42.15,-,-1.13%
2019-10-25,44.1,44.95,46.92,41.87,-,-1.89%
2019-10-24,44.95,46.53,46.88,43.63,-,-3.40%
2019-10-23,46.53,45.68,46.83,43.7,-,1.86%
2019-10-22,45.68,44.68,48.01,42.85,-,2.51%
2019-10-21,44.56,46.17,46.38,43.09,-,-3.49%
2019-10-18,46.17,43.35,52.04,43.02,-,6.51%
2019-10-17,43.35,42.96,45.06,41.03,-,0.91%
2019-10-16,42.96,39.51,45.46,39.51,-,8.73%
2019-10-15,39.51,42.84,44.28,39.51,-,-7.60%
2019-10-14,42.76,44.44,45.14,41.97,-,-3.78%
2019-10-11,44.44,45.4,46.35,39.9,-,-2.11%
2019-10-10,45.4,49.27,50.65,44.32,-,-7.85%
2019-10-09,49.27,51.04,51.04,44.03,-,-3.47%
2019-10-08,51.04,45.75,51.09,44.9,-,11.93%
2019-10-07,45.6,46.04,48.16,41.19,-,-0.89%
2019-10-04,46.01,47.28,48.84,44.8,-,-2.69%
2019-10-03,47.28,50.81,52.61,45.74,-,-6.95%
2019-10-02,50.81,47.61,51.06,47.11,-,6.72%
2019-10-01,47.61,45.96,48.22,42.97,-,3.64%
2019-09-30,45.94,46.17,48.75,44.85,-,-0.50%
2019-09-27,46.17,46.31,48.96,44.49,-,-0.30%
2019-09-26,46.31,45.03,48.59,45.03,-,2.84%
2019-09-25,45.03,46.82,48.45,44.86,-,-3.82%
2019-09-24,46.82,46.84,48.78,44.23,-,-2.44%
2019-09-23,47.99,48.33,50.18,47.86,-,-1.36%
2019-09-20,48.65,45.32,50.15,43.42,-,7.35%
2019-09-19,45.32,43.83,47.26,42,-,3.40%
2019-09-18,43.83,45.8,47.78,42.92,-,-4.30%
2019-09-17,45.8,45.8,48.82,44.79,-,0.00%
2019-09-16,45.8,43.96,47.65,43.96,-,4.19%
2019-09-13,43.96,43.35,45.75,42.05,-,1.41%
2019-09-12,43.35,43.57,46.94,38.14,-,-0.50%
2019-09-11,43.57,44.09,47.19,41.64,-,-1.18%
2019-09-10,44.09,43.16,46.7,42.76,-,2.15%
2019-09-09,43.16,45.43,45.43,41.76,-,-5.14%
2019-09-06,45.5,45.6,45.72,42.79,-,-0.22%
2019-09-05,45.6,46.97,48.93,41.75,-,-2.92%
2019-09-04,46.97,48,49.2,45.51,-,-2.15%
2019-09-03,48,51.23,51.23,41.92,-,-6.30%
2019-08-30,51.23,46.31,51.29,44.19,-,10.62%
2019-08-29,46.31,48.08,52.42,45.12,-,-3.68%
2019-08-28,48.08,49.25,51,45.28,-,-2.38%
2019-08-27,49.25,46.69,50.03,45.58,-,5.37%
2019-08-26,46.74,47.96,49.33,45.81,-,-2.54%
2019-08-23,47.96,44.88,51.15,38.41,-,6.86%
2019-08-22,44.88,45.06,46.78,42.1,-,-0.40%
2019-08-21,45.06,46.4,46.4,41.05,-,-2.72%
2019-08-20,46.32,45.26,46.69,44.31,-,2.18%
2019-08-19,45.33,45.74,49.37,43.95,-,-0.90%
2019-08-16,45.74,46.81,46.81,42.58,-,-1.87%
