Date,Value
2019-06-30,4650208.0
2019-03-31,4588862.0
2018-12-31,4520708.0
2018-09-30,4482128.0
2018-06-30,4431241.0
2018-03-31,4385084.0
2017-12-31,4307792.0
2017-09-30,4232594.0
2017-06-30,4187389.0
2017-03-31,4151021.0
2016-12-31,4087941.0
2016-09-30,4042659.0
2016-06-30,4007905.0
2016-03-31,3986636.0
2015-12-31,3942296.0
2015-09-30,3906385.0
2015-06-30,3879030.0
2015-03-31,3825257.0
2014-12-31,3776546.0
2014-09-30,3731866.0
2014-06-30,3679517.0
2014-03-31,3621807.0
2013-12-31,3559499.0
2013-09-30,3533833.0
2013-06-30,3504292.0
2013-03-31,3476049.0
2012-12-31,3579218.0
2012-09-30,3466781.0
2012-06-30,3453520.0
2012-03-31,3415600.0
2011-12-31,3349596.0
2011-09-30,3336824.0
2011-06-30,3298693.0
2011-03-31,3269408.0
2010-12-31,3179104.0
2010-09-30,3135971.0
2010-06-30,3103339.0
2010-03-31,3058707.0
2009-12-31,3033219.0
2009-09-30,3016694.0
2009-06-30,3029436.0
2009-03-31,3015443.0
2008-12-31,3096497.0
2008-09-30,3133886.0
2008-06-30,3180099.0
2008-03-31,3091746.0
2007-12-31,3046051.0
2007-09-30,3011856.0
2007-06-30,2987126.0
2007-03-31,2955149.0
2006-12-31,2898751.0
2006-09-30,2860019.0
2006-06-30,2832557.0
2006-03-31,2802619.0
2005-12-31,2720117.0
2005-09-30,2674514.0
2005-06-30,2629641.0
2005-03-31,2589764.0
2004-12-31,2580571.0
2004-09-30,2527613.0
2004-06-30,2492858.0
2004-03-31,2451854.0
2003-12-31,2422343.0
2003-09-30,2387571.0
2003-06-30,2356086.0
2003-03-31,2325107.0
2002-12-31,2310973.0
2002-09-30,2293485.0
2002-06-30,2284966.0
2002-03-31,2264432.0
2001-12-31,2254135.0
2001-09-30,2247680.0
2001-06-30,2249482.0
2001-03-31,2240294.0
2000-12-31,2200693.0
2000-09-30,2181224.0
2000-06-30,2143821.0
2000-03-31,2111317.0
1999-12-31,2047937.0
1999-09-30,2003870.0
1999-06-30,1977068.0
1999-03-31,1959534.0
1998-12-31,1937696.0
1998-09-30,1913841.0
1998-06-30,1887018.0
1998-03-31,1855136.0
1997-12-31,1814650.0
1997-09-30,1780944.0
1997-06-30,1752615.0
1997-03-31,1732461.0
1996-12-31,1701297.0
1996-09-30,1678660.0
1996-06-30,1659839.0
1996-03-31,1627230.0
1995-12-31,1597956.0
1995-09-30,1579261.0
1995-06-30,1560061.0
1995-03-31,1543696.0
1994-12-31,1519611.0
1994-09-30,1492477.0
1994-06-30,1476013.0
1994-03-31,1449185.0
1993-12-31,1436238.0
1993-09-30,1416715.0
1993-06-30,1406622.0
1993-03-31,1389411.0
1992-12-31,1380836.0
1992-09-30,1362399.0
1992-06-30,1347278.0
1992-03-31,1322541.0
1991-12-31,1293272.0
1991-09-30,1273419.0
1991-06-30,1260745.0
1991-03-31,1245950.0
1990-12-31,1243222.0
1990-09-30,1237661.0
1990-06-30,1222232.0
1990-03-31,1203308.0
1989-12-31,1179035.0
1989-09-30,1160757.0
1989-06-30,1146907.0
1989-03-31,1133175.0
1988-12-31,1101224.0
1988-09-30,1079737.0
1988-06-30,1056941.0
1988-03-31,1038442.0
1987-12-31,1019618.0
1987-09-30,995674.0
1987-06-30,977788.0
1987-03-31,962785.0
1986-12-31,948246.0
1986-09-30,937659.0
1986-06-30,925165.0
1986-03-31,914620.0
1985-12-31,899646.0
1985-09-30,883441.0
1985-06-30,871642.0
1985-03-31,861605.0
1984-12-31,845394.0
1984-09-30,831758.0
1984-06-30,812792.0
1984-03-31,791858.0
1983-12-31,769077.0
1983-09-30,747765.0
1983-06-30,732986.0
1983-03-31,720451.0
1982-12-31,711127.0
1982-09-30,699941.0
1982-06-30,689642.0
1982-03-31,678777.0
1981-12-31,670731.0
1981-09-30,661938.0
1981-06-30,637857.0
1981-03-31,625978.0
1980-12-31,611264.0
1980-09-30,584302.0
1980-06-30,564197.0
1980-03-31,557700.0
1979-12-31,542053.0
1979-09-30,526341.0
1979-06-30,509963.0
1979-03-31,499839.0
1978-12-31,485684.0
1978-09-30,471832.0
1978-06-30,458485.0
1978-03-31,443718.0
1977-12-31,433753.0
1977-09-30,418757.0
1977-06-30,407072.0
1977-03-31,394991.0
1976-12-31,387407.0
1976-09-30,378455.0
1976-06-30,369348.0
1976-03-31,363240.0
1975-12-31,355007.0
1975-09-30,346021.0
1975-06-30,336886.0
1975-03-31,328980.0
1974-12-31,324011.0
1974-09-30,316653.0
1974-06-30,307593.0
1974-03-31,301097.0
1973-12-31,297043.0
1973-09-30,287512.0
1973-06-30,280647.0
1973-03-31,273325.0
1972-12-31,268920.0
1972-09-30,257300.0
1972-06-30,250865.0
1972-03-31,246491.0
1971-12-31,239673.0
1971-09-30,235126.0
1971-06-30,231596.0
1971-03-31,225741.0
1970-12-31,220737.0
1970-09-30,218509.0
1970-06-30,214911.0
1970-03-31,210441.0
1969-12-31,206825.0
1969-09-30,202997.0
1969-06-30,197607.0
1969-03-31,192831.0
1968-12-31,189175.0
1968-09-30,185251.0
1968-06-30,180650.0
1968-03-31,175660.0
1967-12-31,170772.0
1967-09-30,167891.0
1967-06-30,164421.0
1967-03-31,162662.0
1966-12-31,159960.0
1966-09-30,156565.0
1966-06-30,153262.0
1966-03-31,150784.0
1965-12-31,147607.0
1965-09-30,144267.0
1965-06-30,140685.0
1965-03-31,138286.0
1964-12-31,135518.0
1964-09-30,133331.0
1964-06-30,130932.0
1964-03-31,128576.0
1963-12-31,126180.0
1963-09-30,123814.0
1963-06-30,122027.0
1963-03-31,120818.0
1962-12-31,119476.0
1962-09-30,117921.0
1962-06-30,116759.0
1962-03-31,114932.0
1961-12-31,113203.0
1961-09-30,110993.0
1961-06-30,109225.0
1961-03-31,107663.0
1960-12-31,106542.0
1960-09-30,106185.0
1960-06-30,105531.0
1960-03-31,104275.0
1959-12-31,102667.0
1959-09-30,101258.0
1959-06-30,100673.0
1959-03-31,98598.0
1958-12-31,96902.0
1958-09-30,95771.0
1958-06-30,93696.0
1958-03-31,93106.0
1957-12-31,92877.0
1957-09-30,93045.0
1957-06-30,91877.0
1957-03-31,90689.0
1956-12-31,89551.0
1956-09-30,87651.0
1956-06-30,86335.0
1956-03-31,84876.0
1955-12-31,83509.0
1955-09-30,82223.0
1955-06-30,80370.0
1955-03-31,78483.0
1954-12-31,76888.0
1954-09-30,75541.0
1954-06-30,75042.0
1954-03-31,75123.0
1953-12-31,75126.0
1953-09-30,75125.0
1953-06-30,75143.0
1953-03-31,74174.0
1952-12-31,73043.0
1952-09-30,71380.0
1952-06-30,69612.0
1952-03-31,68620.0
1951-12-31,264455.0
1950-12-31,233904.0
1949-12-31,211244.0
1948-12-31,213661.0
1947-12-31,194616.0
1946-12-31,182668.0
