Date,Value
2019-09-01,2.21
2019-08-01,2.24
2019-07-01,2.22
2019-06-01,2.39
2019-05-01,2.23
2019-04-01,2.17
2019-03-01,2.27
2019-02-01,2.27
2019-01-01,2.41
2018-12-01,2.3
2018-11-01,2.1
2018-10-01,1.92
2018-09-01,1.88
2018-08-01,1.88
2018-07-01,1.9
2018-06-01,1.92
2018-05-01,1.85
2018-04-01,1.8
2018-03-01,1.8
2018-02-01,1.65
2018-01-01,1.68
2017-12-01,1.82
2017-11-01,1.92
2017-10-01,1.96
2017-09-01,2.1
2017-08-01,2.1
2017-07-01,2.07
2017-06-01,2.18
2017-05-01,2.25
2017-04-01,2.27
2017-03-01,2.2
2017-02-01,2.22
2017-01-01,2.23
2016-12-01,2.34
2016-11-01,2.57
2016-10-01,2.62
2016-09-01,2.68
2016-08-01,2.68
2016-07-01,2.72
2016-06-01,2.89
2016-05-01,2.87
2016-04-01,2.98
2016-03-01,3.24
2016-02-01,3.56
2016-01-01,3.36
2015-12-01,3.22
2015-11-01,3.2
2015-10-01,3.27
2015-09-01,3.17
2015-08-01,3.02
2015-07-01,2.88
2015-06-01,2.77
2015-05-01,2.69
2015-04-01,2.54
2015-03-01,2.5
2015-02-01,2.53
2015-01-01,2.57
2014-12-01,2.53
2014-11-01,2.46
2014-10-01,2.39
2014-09-01,2.27
2014-08-01,2.27
2014-07-01,2.19
2014-06-01,2.2
2014-05-01,2.2
2014-04-01,2.19
2014-03-01,2.34
2014-02-01,2.39
2014-01-01,2.33
2013-12-01,2.48
2013-11-01,2.66
2013-10-01,2.69
2013-09-01,2.66
2013-08-01,2.68
2013-07-01,2.74
2013-06-01,2.89
2013-05-01,2.8
2013-04-01,2.83
2013-03-01,2.89
2013-02-01,2.87
2013-01-01,2.82
2012-12-01,2.91
2012-11-01,2.86
2012-10-01,2.83
2012-09-01,3.12
2012-08-01,3.23
2012-07-01,3.34
2012-06-01,3.4
2012-05-01,3.27
2012-04-01,3.14
2012-03-01,3.06
2012-02-01,3.17
2012-01-01,3.26
2011-12-01,3.27
2011-11-01,3.13
2011-10-01,3.22
2011-09-01,3.29
2011-08-01,3.06
2011-07-01,2.76
2011-06-01,2.75
2011-05-01,2.61
2011-04-01,2.56
2011-03-01,2.62
2011-02-01,2.57
2011-01-01,2.7
2010-12-01,2.81
2010-11-01,3.16
2010-10-01,3.18
2010-09-01,3.01
2010-08-01,2.96
2010-07-01,3.0
2010-06-01,3.03
2010-05-01,2.63
2010-04-01,2.4
2010-03-01,2.54
2010-02-01,2.65
2010-01-01,2.52
2009-12-01,2.78
2009-11-01,2.92
2009-10-01,2.9
2009-09-01,2.91
2009-08-01,2.99
2009-07-01,3.53
2009-06-01,3.78
2009-05-01,4.77
2009-04-01,5.46
2009-03-01,5.6
2009-02-01,5.21
2009-01-01,5.62
2008-12-01,6.01
2008-11-01,5.68
2008-10-01,5.07
2008-09-01,3.62
2008-08-01,3.26
2008-07-01,3.15
2008-06-01,2.97
2008-05-01,3.05
2008-04-01,3.29
2008-03-01,3.38
2008-02-01,3.08
2008-01-01,2.8
2007-12-01,2.55
2007-11-01,2.25
2007-10-01,1.95
2007-09-01,2.07
2007-08-01,1.98
2007-07-01,1.65
2007-06-01,1.6
2007-05-01,1.64
2007-04-01,1.7
2007-03-01,1.71
2007-02-01,1.56
2007-01-01,1.58
2006-12-01,1.66
2006-11-01,1.6
2006-10-01,1.69
2006-09-01,1.71
2006-08-01,1.71
2006-07-01,1.67
2006-06-01,1.67
2006-05-01,1.64
2006-04-01,1.69
2006-03-01,1.69
2006-02-01,1.7
2006-01-01,1.82
2005-12-01,1.85
2005-11-01,1.85
2005-10-01,1.84
2005-09-01,1.83
2005-08-01,1.7
2005-07-01,1.77
2005-06-01,1.86
2005-05-01,1.87
2005-04-01,1.71
2005-03-01,1.56
2005-02-01,1.65
2005-01-01,1.8
2004-12-01,1.92
2004-11-01,2.01
