Date,Value
2019-06-30,129670605.0
2019-03-31,127646333.0
2018-12-31,122312565.0
2018-09-30,126091674.0
2018-06-30,123840708.0
2018-03-31,121848415.0
2017-12-31,121145311.0
2017-09-30,118311972.0
2017-06-30,116044889.0
2017-03-31,114121161.0
2016-12-31,111893560.0
2016-09-30,110592345.0
2016-06-30,108200709.0
2016-03-31,106602858.0
2015-12-31,105654321.0
2015-09-30,104043411.0
2015-06-30,105013022.0
2015-03-31,104433693.0
2014-12-31,102509713.0
2014-09-30,100553978.0
2014-06-30,99981831.0
2014-03-31,98043214.0
2013-12-31,96570405.0
2013-09-30,94048488.0
2013-06-30,91357599.0
2013-03-31,90140095.0
2012-12-31,87330733.0
2012-09-30,86263227.0
2012-06-30,84224877.0
2012-03-31,84292573.0
2011-12-31,82215547.0
2011-09-30,80753907.0
2011-06-30,82660886.0
2011-03-31,82190683.0
2010-12-31,81147599.0
2010-09-30,79387450.0
2010-06-30,77394541.0
2010-03-31,78030360.0
2009-12-31,77104231.0
2009-09-30,76730780.0
2009-06-30,75184994.0
2009-03-31,74520172.0
2008-12-31,75963339.0
2008-09-30,79543659.0
2008-06-30,81616563.0
2008-03-31,83074553.0
2007-12-31,85104180.0
2007-09-30,85635739.0
2007-06-30,84766357.0
2007-03-31,83835134.0
2006-12-31,82703304.0
2006-09-30,80908902.0
2006-06-30,79504818.0
2006-03-31,79079397.0
2005-12-31,76802958.0
2005-09-30,74890514.0
2005-06-30,72828262.0
2005-03-31,70958608.0
2004-12-31,69845149.0
2004-09-30,66953961.0
2004-06-30,65382305.0
2004-03-31,64192892.0
2003-12-31,61537723.0
2003-09-30,59194723.0
2003-06-30,57986994.0
2003-03-31,55679407.0
2002-12-31,55230318.0
2002-09-30,53739095.0
2002-06-30,54596648.0
2002-03-31,55024048.0
2001-12-31,54227940.0
2001-09-30,52511104.0
2001-06-30,53324538.0
2001-03-31,51926367.0
2000-12-31,52104100.0
2000-09-30,52467568.0
2000-06-30,51497936.0
2000-03-31,51648592.0
1999-12-31,50202491.0
1999-09-30,47307621.0
1999-06-30,47254042.0
1999-03-31,46058719.0
1998-12-31,45547359.0
1998-09-30,43273284.0
1998-06-30,43838991.0
1998-03-31,43082392.0
1997-12-31,41317758.0
1997-09-30,40675625.0
1997-06-30,39432672.0
1997-03-31,37958273.0
1996-12-31,37585500.0
1996-09-30,36684216.0
1996-06-30,36285155.0
1996-03-31,35752720.0
1995-12-31,35074459.0
1995-09-30,34262473.0
1995-06-30,33506911.0
1995-03-31,32857346.0
1994-12-31,32260667.0
1994-09-30,31927384.0
1994-06-30,31481299.0
1994-03-31,31213270.0
1993-12-31,31025038.0
1993-09-30,30499239.0
1993-06-30,30016935.0
1993-03-31,29685113.0
1992-12-31,29348171.0
1992-09-30,28677528.0
1992-06-30,28257825.0
1992-03-31,28127855.0
1991-12-31,28018339.0
1991-09-30,27348960.0
1991-06-30,27031539.0
1991-03-31,26920044.0
1990-12-31,26303071.0
1990-09-30,25796166.0
1990-06-30,25900813.0
1990-03-31,25590008.0
1989-12-31,25393424.0
1989-09-30,24910200.0
1989-06-30,24283824.0
1989-03-31,23773784.0
1988-12-31,23296994.0
1988-09-30,22717239.0
1988-06-30,22314750.0
1988-03-31,21790818.0
1987-12-31,21236484.0
1987-09-30,21234359.0
1987-06-30,20745201.0
1987-03-31,20361348.0
1986-12-31,19733937.0
1986-09-30,19077952.0
1986-06-30,18814933.0
1986-03-31,18374152.0
1985-12-31,17848689.0
1985-09-30,17243023.0
1985-06-30,16948401.0
1985-03-31,16539648.0
1984-12-31,16064125.0
1984-09-30,15715636.0
1984-06-30,15327071.0
1984-03-31,15038410.0
1983-12-31,14764024.0
1983-09-30,14601116.0
1983-06-30,14383088.0
1983-03-31,14032934.0
1982-12-31,13701339.0
1982-09-30,13337567.0
1982-06-30,13102753.0
1982-03-31,12947210.0
1981-12-31,12804107.0
1981-09-30,12461994.0
1981-06-30,12329450.0
1981-03-31,12009108.0
1980-12-31,11802272.0
1980-09-30,11436702.0
1980-06-30,11006807.0
1980-03-31,10642908.0
1979-12-31,10421664.0
1979-09-30,10095582.0
1979-06-30,9762002.0
1979-03-31,9442052.0
1978-12-31,9103513.0
1978-09-30,8879747.0
1978-06-30,8585401.0
1978-03-31,8285689.0
1977-12-31,8089065.0
