Date,Value
2019-09-30,256.759
2019-06-30,256.143
2019-03-31,254.202
2018-12-31,251.233
2018-09-30,252.439
2018-06-30,251.989
2018-03-31,249.554
2017-12-31,246.524
2017-09-30,246.819
2017-06-30,244.955
2017-03-31,243.801
2016-12-31,241.432
2016-09-30,241.428
2016-06-30,241.038
2016-03-31,238.132
2015-12-31,236.525
2015-09-30,237.945
2015-06-30,238.638
2015-03-31,236.119
2014-12-31,234.812
2014-09-30,238.031
2014-06-30,238.343
2014-03-31,236.293
2013-12-31,233.049
2013-09-30,234.149
2013-06-30,233.504
2013-03-31,232.773
2012-12-31,229.601
2012-09-30,231.407
2012-06-30,229.478
2012-03-31,229.392
2011-12-31,225.672
2011-09-30,226.889
2011-06-30,225.722
2011-03-31,223.467
2010-12-31,219.179
2010-09-30,218.439
2010-06-30,217.965
2010-03-31,217.631
2009-12-31,215.949
2009-09-30,215.969
2009-06-30,215.693
2009-03-31,212.709
2008-12-31,210.228
2008-09-30,218.783
2008-06-30,218.815
2008-03-31,213.528
2007-12-31,210.036
2007-09-30,208.49
2007-06-30,208.352
2007-03-31,205.352
2006-12-31,201.8
2006-09-30,202.9
2006-06-30,202.9
2006-03-31,199.8
2005-12-31,196.8
2005-09-30,198.8
2005-06-30,194.5
2005-03-31,193.3
2004-12-31,190.3
2004-09-30,189.9
2004-06-30,189.7
2004-03-31,187.4
2003-12-31,184.3
2003-09-30,185.2
2003-06-30,183.7
2003-03-31,184.2
2002-12-31,180.9
2002-09-30,181.0
2002-06-30,179.9
2002-03-31,178.8
2001-12-31,176.7
2001-09-30,178.3
2001-06-30,178.0
2001-03-31,176.2
2000-12-31,174.0
2000-09-30,173.7
2000-06-30,172.4
2000-03-31,171.2
1999-12-31,168.3
1999-09-30,167.9
1999-06-30,166.2
1999-03-31,165.0
1998-12-31,163.9
1998-09-30,163.6
1998-06-30,163.0
1998-03-31,162.2
1997-12-31,161.3
1997-09-30,161.2
1997-06-30,160.3
1997-03-31,160.0
1996-12-31,158.6
1996-09-30,157.8
1996-06-30,156.7
1996-03-31,155.7
1995-12-31,153.5
1995-09-30,153.2
1995-06-30,152.5
1995-03-31,151.4
1994-12-31,149.7
1994-09-30,149.4
1994-06-30,148.0
1994-03-31,147.2
1993-12-31,145.8
1993-09-30,145.1
1993-06-30,144.4
1993-03-31,143.6
1992-12-31,141.9
1992-09-30,141.3
1992-06-30,140.2
1992-03-31,139.3
1991-12-31,137.9
1991-09-30,137.2
1991-06-30,136.0
1991-03-31,135.0
1990-12-31,133.8
1990-09-30,132.7
1990-06-30,129.9
1990-03-31,128.7
1989-12-31,126.1
1989-09-30,125.0
1989-06-30,124.1
1989-03-31,122.3
1988-12-31,120.5
1988-09-30,119.8
1988-06-30,118.0
1988-03-31,116.5
1987-12-31,115.4
1987-09-30,115.0
1987-06-30,113.5
1987-03-31,112.1
1986-12-31,110.5
1986-09-30,110.2
1986-06-30,109.5
1986-03-31,108.8
1985-12-31,109.3
1985-09-30,108.3
1985-06-30,107.6
1985-03-31,106.4
1984-12-31,105.3
1984-09-30,105.0
1984-06-30,103.7
1984-03-31,102.6
1983-12-31,101.3
1983-09-30,100.7
1983-06-30,99.5
1983-03-31,97.9
