Date,Food and non-alcoholic beverages (US dollar; series 1000),Alcoholic beverages; tobacco and narcotics (US dollar; series 1000),Clothing and footwear (US dollar; series 1000),Housing; water; electricity; gas and other fuels (US dollar; series 1000),Furnishings; household equipment and routine maintenance of the house (US dollar; series 1000),Health (US dollar; series 1000),Transport (US dollar; series 1000),Communication (US dollar; series 1000),Recreation and culture (US dollar; series 1000),Education (US dollar; series 1000),Restaurants and hotels (US dollar; series 1000),Miscellaneous goods and services (US dollar; series 1000),Equals: Household final consumption expenditure in domestic market (US dollar; series 1000),Plus: Direct purchases abroad by residents (US dollar; series 1000),Less: Direct purchases in domestic market by non-residents (US dollar; series 1000),Equals: Household final consumption expenditure (US dollar; series 1000),Equals: NPISHs final consumption expenditure (US dollar; series 1000),Equals: Individual consumption expenditure of general government (US dollar; series 1000),Equals: Total actual individual consumption (US dollar; series 1000),Food and non-alcoholic beverages (US dollar; series 100),Alcoholic beverages; tobacco and narcotics (US dollar; series 100),Clothing and footwear (US dollar; series 100),Housing; water; electricity; gas and other fuels (US dollar; series 100),Furnishings; household equipment and routine maintenance of the house (US dollar; series 100),Health (US dollar; series 100),Transport (US dollar; series 100),Communication (US dollar; series 100),Recreation and culture (US dollar; series 100),Education (US dollar; series 100),Restaurants and hotels (US dollar; series 100),Miscellaneous goods and services (US dollar; series 100),Equals: Household final consumption expenditure in domestic market (US dollar; series 100),Plus: Direct purchases abroad by residents (US dollar; series 100),Less: Direct purchases in domestic market by non-residents (US dollar; series 100),Equals: Household final consumption expenditure (US dollar; series 100),Equals: NPISHs final consumption expenditure (US dollar; series 100),Equals: Individual consumption expenditure of general government (US dollar; series 100),Equals: Total actual individual consumption (US dollar; series 100),Food and non-alcoholic beverages (US dollar; series 10),Alcoholic beverages; tobacco and narcotics (US dollar; series 10),Clothing and footwear (US dollar; series 10),Housing; water; electricity; gas and other fuels (US dollar; series 10),Furnishings; household equipment and routine maintenance of the house (US dollar; series 10),Health (US dollar; series 10),Transport (US dollar; series 10),Recreation and culture (US dollar; series 10),Education (US dollar; series 10),Restaurants and hotels (US dollar; series 10),Miscellaneous goods and services (US dollar; series 10),Equals: Household final consumption expenditure in domestic market (US dollar; series 10),Plus: Direct purchases abroad by residents (US dollar; series 10),Less: Direct purchases in domestic market by non-residents (US dollar; series 10),Equals: Household final consumption expenditure (US dollar; series 10)
2017-12-31,830017000000.0,227846000000.0,395731000000.0,2464848000000.0,531548000000.0,2829094000000.0,1225238000000.0,274629000000.0,1171381000000.0,280837000000.0,897294000000.0,1828664000000.0,12957128000000.0,176581000000.0,215688000000.0,12918021000000.0,403386000000.0,1182140800000.0,14503547800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,812638000000.0,225433000000.0,388589000000.0,2368902000000.0,513201000000.0,2703939000000.0,1160391000000.0,271281000000.0,1112615000000.0,270011000000.0,873470000000.0,1720599000000.0,12421069000000.0,165472000000.0,211857000000.0,12374684000000.0,392209000000.0,1149289700000.0,13916182000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,795638000000.0,219765000000.0,381586000000.0,2277599000000.0,493909000000.0,2570008000000.0,1162612000000.0,259046000000.0,1065121000000.0,261073000000.0,832676000000.0,1666405000000.0,11985437000000.0,154046000000.0,212017000000.0,11927466000000.0,367064000000.0,1117130400000.0,13411660100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,777494000000.0,211372000000.0,373244000000.0,2180923000000.0,474797000000.0,2407679000000.0,1202445000000.0,253611000000.0,1014651000000.0,253738000000.0,776632000000.0,1583966000000.0,11510552000000.0,144055000000.0,196820000000.0,11457787000000.0,366246000000.0,1083805400000.0,12907837700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,748767000000.0,208064000000.0,365283000000.0,2080515000000.0,454290000000.0,2288266000000.0,1170466000000.0,237483000000.0,976897000000.0,247200000000.0,732251000000.0,1505602000000.0,11015084000000.0,132052000000.0,182516000000.0,10964620000000.0,352590000000.0,1052334400000.0,12369544700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,732026000000.0,209172000000.0,359525000000.0,2020456000000.0,438571000000.0,2230720000000.0,1135467000000.0,232460000000.0,943958000000.0,241040000000.0,704928000000.0,1450507000000.0,10698830000000.0,132781000000.0,166344000000.0,10665268000000.0,341546000000.0,1007087300000.0,12013901500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,709420000000.0,207197000000.0,347114000000.0,1982943000000.0,423666000000.0,2153221000000.0,1080327000000.0,228082000000.0,911338000000.0,238490000000.0,669465000000.0,1412937000000.0,10364200000000.0,120686000000.0,155633000000.0,10329253000000.0,311856000000.0,997193400000.0,11638302400000.0,698400000000.0,207700000000.0,366100000000.0,1954500000000.0,429600000000.0,2155000000000.0,1079400000000.0,246700000000.0,965800000000.0,252200000000.0,670900000000.0,1434600000000.0,10460900000000.0,132400000000.0,156200000000.0,10437100000000.0,291900000000.0,981000000000.0,11710000000000.0,,,,,,,,,,,,,,,
2010-12-31,678971000000.0,205791000000.0,331651000000.0,1928465000000.0,410668000000.0,2078090000000.0,961758000000.0,220725000000.0,894239000000.0,230496000000.0,635671000000.0,1343737000000.0,9920262000000.0,114368000000.0,143233000000.0,9891397000000.0,294438000000.0,994687800000.0,11180523400000.0,654900000000.0,200300000000.0,347900000000.0,1914200000000.0,410200000000.0,2044100000000.0,960500000000.0,237000000000.0,919900000000.0,237000000000.0,631000000000.0,1395400000000.0,9952300000000.0,126400000000.0,142700000000.0,9936100000000.0,279700000000.0,977100000000.0,11192800000000.0,,,,,,,,,,,,,,,
2009-12-31,669496000000.0,197771000000.0,319093000000.0,1900894000000.0,405913000000.0,1999253000000.0,879735000000.0,212837000000.0,872958000000.0,216536000000.0,612688000000.0,1283299000000.0,9570472000000.0,107035000000.0,124480000000.0,9553028000000.0,289180000000.0,977809800000.0,10820018400000.0,642800000000.0,187400000000.0,333200000000.0,1892200000000.0,402700000000.0,1966700000000.0,879200000000.0,229000000000.0,893600000000.0,221200000000.0,607200000000.0,1322700000000.0,9578000000000.0,118000000000.0,129700000000.0,9566400000000.0,279500000000.0,960700000000.0,10806600000000.0,,,,,,,,,,,,,,,
2008-12-31,666209000000.0,187084000000.0,333085000000.0,1865493000000.0,438742000000.0,1909291000000.0,1016981000000.0,214046000000.0,909557000000.0,206836000000.0,620152000000.0,1340372000000.0,9707849000000.0,120166000000.0,138977000000.0,9689038000000.0,287292000000.0,954557600000.0,10930887800000.0,647700000000.0,174400000000.0,348000000000.0,1857000000000.0,432900000000.0,1884900000000.0,1029700000000.0,230700000000.0,936500000000.0,209300000000.0,618300000000.0,1397800000000.0,9767200000000.0,129900000000.0,146100000000.0,9750900000000.0,284600000000.0,941600000000.0,10977100000000.0,,,,,,,,,,,,,,,
