Date,Price,Open,High,Low,Vol.,Change %
23-Nov-18,1093.00,1093.00,1093.00,1093.00,-,7.37%
22-Nov-18,1018.00,1018.00,1018.00,1018.00,-,0.99%
21-Nov-18,1008.00,1008.00,1008.00,1008.00,-,0.50%
20-Nov-18,1003.00,1003.00,1003.00,1003.00,-,-1.96%
19-Nov-18,1023.00,1023.00,1023.00,1023.00,-,-0.78%
16-Nov-18,1031.00,1031.00,1031.00,1031.00,-,1.08%
15-Nov-18,1020.00,1020.00,1020.00,1020.00,-,1.09%
14-Nov-18,1009.00,1009.00,1009.00,1009.00,-,-5.17%
13-Nov-18,1064.00,1064.00,1064.00,1064.00,-,-5.42%
12-Nov-18,1125.00,1125.00,1125.00,1125.00,-,-1.92%
9-Nov-18,1147.00,1147.00,1147.00,1147.00,-,-6.82%
8-Nov-18,1231.00,1231.00,1231.00,1231.00,-,-5.60%
7-Nov-18,1304.00,1304.00,1304.00,1304.00,-,-6.52%
6-Nov-18,1395.00,1395.00,1395.00,1395.00,-,-2.31%
5-Nov-18,1428.00,1428.00,1428.00,1428.00,-,-1.99%
2-Nov-18,1457.00,1457.00,1457.00,1457.00,-,-0.88%
1-Nov-18,1470.00,1470.00,1470.00,1470.00,-,-1.34%
31-Oct-18,1490.00,1490.00,1490.00,1490.00,-,-1.52%
30-Oct-18,1513.00,1513.00,1513.00,1513.00,-,-0.59%
29-Oct-18,1522.00,1522.00,1522.00,1522.00,-,0.20%
26-Oct-18,1519.00,1519.00,1519.00,1519.00,-,0.20%
25-Oct-18,1516.00,1516.00,1516.00,1516.00,-,-1.94%
24-Oct-18,1546.00,1546.00,1546.00,1546.00,-,-1.97%
23-Oct-18,1577.00,1577.00,1577.00,1577.00,-,-0.13%
22-Oct-18,1579.00,1579.00,1579.00,1579.00,-,0.19%
19-Oct-18,1576.00,1576.00,1576.00,1576.00,-,0.70%
18-Oct-18,1565.00,1565.00,1565.00,1565.00,-,0.71%
17-Oct-18,1554.00,1554.00,1554.00,1554.00,-,-1.52%
16-Oct-18,1578.00,1578.00,1578.00,1578.00,-,-0.38%
15-Oct-18,1584.00,1584.00,1584.00,1584.00,-,0.32%
12-Oct-18,1579.00,1579.00,1579.00,1579.00,-,4.22%
11-Oct-18,1515.00,1515.00,1515.00,1515.00,-,1.47%
10-Oct-18,1493.00,1493.00,1493.00,1493.00,-,-0.67%
9-Oct-18,1503.00,1503.00,1503.00,1503.00,-,-1.76%
8-Oct-18,1530.00,1530.00,1530.00,1530.00,-,-0.39%
5-Oct-18,1536.00,1536.00,1536.00,1536.00,-,-1.16%
4-Oct-18,1554.00,1554.00,1554.00,1554.00,-,-1.27%
3-Oct-18,1574.00,1574.00,1574.00,1574.00,-,0.25%
2-Oct-18,1570.00,1570.00,1570.00,1570.00,-,0.96%
1-Oct-18,1555.00,1555.00,1555.00,1555.00,-,0.97%
28-Sep-18,1540.00,1540.00,1540.00,1540.00,-,1.05%
27-Sep-18,1524.00,1524.00,1524.00,1524.00,-,1.40%
26-Sep-18,1503.00,1503.00,1503.00,1503.00,-,3.66%
25-Sep-18,1450.00,1450.00,1450.00,1450.00,-,1.12%
24-Sep-18,1434.00,1434.00,1434.00,1434.00,-,1.49%
21-Sep-18,1413.00,1413.00,1413.00,1413.00,-,1.22%
20-Sep-18,1396.00,1396.00,1396.00,1396.00,-,1.68%
19-Sep-18,1373.00,1373.00,1373.00,1373.00,-,1.25%
18-Sep-18,1356.00,1356.00,1356.00,1356.00,-,-0.07%
17-Sep-18,1357.00,1357.00,1357.00,1357.00,-,-0.66%
14-Sep-18,1366.00,1366.00,1366.00,1366.00,-,-1.16%
13-Sep-18,1382.00,1382.00,1382.00,1382.00,-,-2.06%
12-Sep-18,1411.00,1411.00,1411.00,1411.00,-,-1.95%
11-Sep-18,1439.00,1439.00,1439.00,1439.00,-,-2.90%
10-Sep-18,1482.00,1482.00,1482.00,1482.00,-,-0.54%
7-Sep-18,1490.00,1490.00,1490.00,1490.00,-,0.40%
6-Sep-18,1484.00,1484.00,1484.00,1484.00,-,0.47%
5-Sep-18,1477.00,1477.00,1477.00,1477.00,-,-2.38%
4-Sep-18,1513.00,1513.00,1513.00,1513.00,-,-2.83%
3-Sep-18,1557.00,1557.00,1557.00,1557.00,-,-1.39%
31-Aug-18,1579.00,1579.00,1579.00,1579.00,-,-2.17%
30-Aug-18,1614.00,1614.00,1614.00,1614.00,-,-2.83%
29-Aug-18,1661.00,1661.00,1661.00,1661.00,-,-1.37%
28-Aug-18,1684.00,1684.00,1684.00,1684.00,-,-0.77%
24-Aug-18,1697.00,1697.00,1697.00,1697.00,-,-0.70%
