DATE,UMTMNO
1992-02-01,228230
1992-03-01,245052
1992-04-01,236726
1992-05-01,238178
1992-06-01,254919
1992-07-01,215164
1992-08-01,229877
1992-09-01,251642
1992-10-01,250738
1992-11-01,238753
1992-12-01,245841
1993-01-01,224516
1993-02-01,245826
1993-03-01,260569
1993-04-01,243538
1993-05-01,241420
1993-06-01,264103
1993-07-01,220405
1993-08-01,243322
1993-09-01,259484
1993-10-01,257233
1993-11-01,249000
1993-12-01,250599
1994-01-01,240343
1994-02-01,256001
1994-03-01,273234
1994-04-01,256785
1994-05-01,261428
1994-06-01,283177
1994-07-01,236055
1994-08-01,270302
1994-09-01,285477
1994-10-01,280143
1994-11-01,277084
1994-12-01,279657
1995-01-01,263051
1995-02-01,284844
1995-03-01,300817
1995-04-01,275740
1995-05-01,283428
1995-06-01,299931
1995-07-01,248729
1995-08-01,286806
1995-09-01,307951
1995-10-01,294603
1995-11-01,288737
1995-12-01,291866
1996-01-01,272083
1996-02-01,288012
1996-03-01,311500
1996-04-01,288426
1996-05-01,299611
1996-06-01,312271
1996-07-01,269015
1996-08-01,292389
1996-09-01,317268
1996-10-01,311265
1996-11-01,306883
1996-12-01,298661
1997-01-01,285190
1997-02-01,309179
1997-03-01,321779
1997-04-01,310643
1997-05-01,306575
1997-06-01,332244
1997-07-01,285899
1997-08-01,314060
1997-09-01,339406
1997-10-01,330521
1997-11-01,326856
1997-12-01,317483
1998-01-01,295916
1998-02-01,320116
1998-03-01,337291
1998-04-01,317776
1998-05-01,314616
1998-06-01,333459
1998-07-01,279252
1998-08-01,314606
1998-09-01,339286
1998-10-01,323043
1998-11-01,313623
1998-12-01,319159
1999-01-01,298792
1999-02-01,320334
1999-03-01,347683
1999-04-01,318219
1999-05-01,321405
1999-06-01,345932
1999-07-01,295583
1999-08-01,333204
1999-09-01,353716
1999-10-01,343647
1999-11-01,331794
1999-12-01,346933
2000-01-01,323474
2000-02-01,337504
2000-03-01,370003
2000-04-01,336901
2000-05-01,344615
2000-06-01,398101
2000-07-01,307154
2000-08-01,345644
2000-09-01,370860
2000-10-01,345596
2000-11-01,339253
2000-12-01,342367
2001-01-01,312664
2001-02-01,325143
2001-03-01,356885
2001-04-01,315057
2001-05-01,336114
2001-06-01,340589
2001-07-01,288080
2001-08-01,328478
2001-09-01,320727
2001-10-01,328245
2001-11-01,305656
2001-12-01,311217
2002-01-01,289997
2002-02-01,306057
2002-03-01,333237
2002-04-01,317142
2002-05-01,329014
2002-06-01,326347
2002-07-01,296043
