DATE,SPX,VIX,(JCJ) January 2008,(KCJ) January 2009,(ICJ) January 2010,(JCJ) January 2011,(KCJ) January 2012,(ICJ-E) JANUARY 2013,(JCJ-E) JANUARY 2014,(KCJ) JANUARY 2015,(ICJ) JANUARY 2016,(JCJ) JANUARY 2017,(KCJ) JANUARY 2018,(ICJ) JANUARY 2019,(JCJ) JANUARY 2020,(KCJ) JANUARY 2020
2018-11-26,2673.45,18.9,,,,,,,,,,,,,43.48,44.52
2018-11-23,2632.56,21.52,,,,,,,,,,,,38.49,47.24,
2018-11-21,2649.93,20.8,,,,,,,,,,,,38.49,46.55,
2018-11-20,2641.89,22.48,,,,,,,,,,,,38.49,46.97,
2018-11-19,2690.73,20.1,,,,,,,,,,,,38.49,45.16,
2018-11-16,2736.27,18.14,,,,,,,,,,,,38.53,41.45,
2018-11-15,2730.2,19.98,,,,,,,,,,,,41.97,44.3,
2018-11-14,2701.58,21.25,,,,,,,,,,,,45.21,42.36,
2018-11-13,2722.18,20.02,,,,,,,,,,,,42.29,42.53,
2018-11-12,2726.22,20.45,,,,,,,,,,,,43.52,40.93,
2018-11-09,2781.01,17.36,,,,,,,,,,,,37.43,38.5,
2018-11-08,2806.83,16.72,,,,,,,,,,,,38.29,38.11,
2018-11-07,2813.89,16.36,,,,,,,,,,,,37.52,40.14,
2018-11-06,2755.45,19.91,,,,,,,,,,,,45.09,39.81,
2018-11-05,2738.31,19.96,,,,,,,,,,,,46.82,41.9,
2018-11-02,2723.06,19.51,,,,,,,,,,,,44.85,42.85,
2018-11-01,2740.37,19.34,,,,,,,,,,,,41.83,41.89,
2018-10-31,2711.74,21.23,,,,,,,,,,,,46.22,46.12,
2018-10-30,2682.63,23.35,,,,,,,,,,,,48.81,45.6,
2018-10-29,2641.25,24.7,,,,,,,,,,,,44.18,40.95,
2018-10-26,2658.69,24.16,,,,,,,,,,,,49.92,43.29,
2018-10-25,2705.57,24.22,,,,,,,,,,,,53.44,41.3,
2018-10-24,2656.1,25.23,,,,,,,,,,,,34.58,41.3,
2018-10-23,2740.69,20.71,,,,,,,,,,,,41.05,41.27,
2018-10-22,2755.88,19.64,,,,,,,,,,,,41.25,41.92,
2018-10-19,2767.78,19.89,,,,,,,,,,,,41.98,42.53,
2018-10-18,2768.78,20.06,,,,,,,,,,,,40.36,40.95,
2018-10-17,2809.21,17.4,,,,,,,,,,,,34.04,39.51,
2018-10-16,2809.92,17.62,,,,,,,,,,,,34.75,38.61,
2018-10-15,2750.79,21.3,,,,,,,,,,,,43.57,42.51,
2018-10-12,2767.13,21.31,,,,,,,,,,,,38.89,39.43,
2018-10-11,2728.37,24.98,,,,,,,,,,,,40.51,40.37,
2018-10-10,2785.68,22.96,,,,,,,,,,,,39.27,42.01,
2018-10-09,2880.34,15.95,,,,,,,,,,,,28.23,35.89,
2018-10-08,2884.43,15.69,,,,,,,,,,,,27.42,35.99,
