Date,Yield
30-Sep-18,1.80%
31-Aug-18,1.82%
31-Jul-18,1.84%
30-Jun-18,1.85%
31-May-18,1.88%
30-Apr-18,1.90%
31-Mar-18,1.85%
28-Feb-18,1.84%
31-Jan-18,1.77%
31-Dec-17,1.84%
30-Nov-17,1.88%
31-Oct-17,1.89%
30-Sep-17,1.93%
31-Aug-17,1.95%
31-Jul-17,1.94%
30-Jun-17,1.94%
31-May-17,1.96%
30-Apr-17,1.98%
31-Mar-17,1.96%
28-Feb-17,1.98%
31-Jan-17,2.02%
31-Dec-16,2.03%
30-Nov-16,2.10%
31-Oct-16,2.11%
30-Sep-16,2.09%
31-Aug-16,2.07%
31-Jul-16,2.08%
30-Jun-16,2.13%
31-May-16,2.14%
30-Apr-16,2.12%
31-Mar-16,2.17%
29-Feb-16,2.30%
31-Jan-16,2.27%
31-Dec-15,2.11%
30-Nov-15,2.07%
31-Oct-15,2.11%
30-Sep-15,2.19%
31-Aug-15,2.07%
31-Jul-15,2.01%
30-Jun-15,1.99%
31-May-15,1.96%
30-Apr-15,1.96%
31-Mar-15,1.96%
28-Feb-15,1.94%
31-Jan-15,1.97%
31-Dec-14,1.92%
30-Nov-14,1.91%
31-Oct-14,2.00%
30-Sep-14,1.93%
31-Aug-14,1.94%
31-Jul-14,1.91%
30-Jun-14,1.92%
31-May-14,1.96%
30-Apr-14,1.96%
31-Mar-14,1.94%
28-Feb-14,1.97%
31-Jan-14,1.94%
31-Dec-13,1.94%
30-Nov-13,1.95%
31-Oct-13,2.01%
30-Sep-13,2.04%
31-Aug-13,2.04%
31-Jul-13,2.02%
30-Jun-13,2.06%
31-May-13,2.01%
30-Apr-13,2.07%
31-Mar-13,2.07%
28-Feb-13,2.10%
31-Jan-13,2.13%
31-Dec-12,2.20%
30-Nov-12,2.20%
31-Oct-12,2.10%
30-Sep-12,2.05%
31-Aug-12,2.08%
31-Jul-12,2.11%
30-Jun-12,2.14%
31-May-12,2.09%
30-Apr-12,2.00%
31-Mar-12,1.97%
29-Feb-12,2.00%
31-Jan-12,2.06%
31-Dec-11,2.13%
30-Nov-11,2.12%
31-Oct-11,2.12%
30-Sep-11,2.15%
31-Aug-11,2.10%
31-Jul-11,1.86%
30-Jun-11,1.89%
31-May-11,1.80%
30-Apr-11,1.78%
31-Mar-11,1.80%
28-Feb-11,1.76%
31-Jan-11,1.79%
31-Dec-10,1.83%
30-Nov-10,1.89%
31-Oct-10,1.92%
30-Sep-10,1.99%
31-Aug-10,2.05%
31-Jul-10,2.05%
30-Jun-10,2.03%
31-May-10,1.95%
30-Apr-10,1.83%
31-Mar-10,1.90%
28-Feb-10,2.03%
31-Jan-10,1.98%
31-Dec-09,2.02%
30-Nov-09,2.10%
31-Oct-09,2.19%
30-Sep-09,2.29%
31-Aug-09,2.42%
31-Jul-09,2.67%
30-Jun-09,2.76%
31-May-09,2.90%
30-Apr-09,3.15%
31-Mar-09,3.60%
28-Feb-09,3.43%
31-Jan-09,3.24%
31-Dec-08,3.23%
30-Nov-08,3.23%
31-Oct-08,2.96%
30-Sep-08,2.37%
31-Aug-08,2.25%
31-Jul-08,2.29%
30-Jun-08,2.14%
31-May-08,2.04%
30-Apr-08,2.08%
31-Mar-08,2.15%
29-Feb-08,2.07%
31-Jan-08,2.03%
31-Dec-07,1.87%
30-Nov-07,1.88%
31-Oct-07,1.77%
30-Sep-07,1.80%
31-Aug-07,1.84%
31-Jul-07,1.74%
30-Jun-07,1.73%
31-May-07,1.72%
30-Apr-07,1.76%
31-Mar-07,1.81%
28-Feb-07,1.75%
31-Jan-07,1.76%
31-Dec-06,1.76%
30-Nov-06,1.77%
31-Oct-06,1.79%
30-Sep-06,1.83%
31-Aug-06,1.85%
31-Jul-06,1.88%
30-Jun-06,1.87%
31-May-06,1.80%
30-Apr-06,1.77%
31-Mar-06,1.76%
28-Feb-06,1.77%
31-Jan-06,1.75%
31-Dec-05,1.76%
30-Nov-05,1.78%
31-Oct-05,1.82%
30-Sep-05,1.75%
31-Aug-05,1.74%
31-Jul-05,1.73%
30-Jun-05,1.74%
31-May-05,1.76%
30-Apr-05,1.76%
31-Mar-05,1.69%
28-Feb-05,1.66%
31-Jan-05,1.67%
31-Dec-04,1.62%
30-Nov-04,1.66%
31-Oct-04,1.72%
30-Sep-04,1.71%
31-Aug-04,1.74%
31-Jul-04,1.70%
30-Jun-04,1.64%
31-May-04,1.67%
30-Apr-04,1.61%
31-Mar-04,1.60%
29-Feb-04,1.56%
31-Jan-04,1.55%
31-Dec-03,1.61%
30-Nov-03,1.63%
31-Oct-03,1.62%
30-Sep-03,1.63%
31-Aug-03,1.66%
31-Jul-03,1.64%
30-Jun-03,1.64%
31-May-03,1.73%
30-Apr-03,1.82%
31-Mar-03,1.92%
28-Feb-03,1.93%
31-Jan-03,1.80%
31-Dec-02,1.79%
30-Nov-02,1.76%
31-Oct-02,1.86%
30-Sep-02,1.82%
31-Aug-02,1.74%
31-Jul-02,1.77%
30-Jun-02,1.58%
31-May-02,1.48%
30-Apr-02,1.42%
31-Mar-02,1.36%
28-Feb-02,1.43%
31-Jan-02,1.38%
31-Dec-01,1.37%
30-Nov-01,1.39%
31-Oct-01,1.46%
30-Sep-01,1.51%
31-Aug-01,1.33%
31-Jul-01,1.30%
30-Jun-01,1.27%
31-May-01,1.24%
30-Apr-01,1.33%
31-Mar-01,1.35%
28-Feb-01,1.23%
31-Jan-01,1.21%
31-Dec-00,1.22%
30-Nov-00,1.18%
31-Oct-00,1.17%
30-Sep-00,1.11%
31-Aug-00,1.11%
31-Jul-00,1.13%
30-Jun-00,1.14%
31-May-00,1.18%
30-Apr-00,1.15%
31-Mar-00,1.16%
29-Feb-00,1.21%
31-Jan-00,1.17%
31-Dec-99,1.17%
30-Nov-99,1.20%
31-Oct-99,1.28%
30-Sep-99,1.26%
31-Aug-99,1.25%
31-Jul-99,1.20%
30-Jun-99,1.24%
31-May-99,1.23%
30-Apr-99,1.23%
31-Mar-99,1.28%
28-Feb-99,1.31%
31-Jan-99,1.30%
31-Dec-98,1.36%
30-Nov-98,1.41%
31-Oct-98,1.57%
30-Sep-98,1.58%
31-Aug-98,1.50%
31-Jul-98,1.38%
30-Jun-98,1.44%
31-May-98,1.43%
30-Apr-98,1.42%
31-Mar-98,1.45%
28-Feb-98,1.52%
31-Jan-98,1.61%
31-Dec-97,1.61%
30-Nov-97,1.64%
31-Oct-97,1.62%
30-Sep-97,1.64%
31-Aug-97,1.65%
31-Jul-97,1.64%
30-Jun-97,1.73%
31-May-97,1.82%
30-Apr-97,1.98%
31-Mar-97,1.90%
28-Feb-97,1.88%
31-Jan-97,1.95%
31-Dec-96,2.00%
30-Nov-96,2.01%
31-Oct-96,2.10%
30-Sep-96,2.17%
31-Aug-96,2.19%
31-Jul-96,2.24%
30-Jun-96,2.14%
31-May-96,2.15%
30-Apr-96,2.19%
31-Mar-96,2.18%
29-Feb-96,2.16%
31-Jan-96,2.26%
31-Dec-95,2.24%
30-Nov-95,2.30%
31-Oct-95,2.34%
30-Sep-95,2.35%
31-Aug-95,2.42%
31-Jul-95,2.41%
30-Jun-95,2.48%
31-May-95,2.54%
30-Apr-95,2.61%
31-Mar-95,2.67%
28-Feb-95,2.73%
31-Jan-95,2.83%
31-Dec-94,2.89%
30-Nov-94,2.84%
31-Oct-94,2.80%
30-Sep-94,2.77%
31-Aug-94,2.78%
31-Jul-94,2.85%
30-Jun-94,2.82%
31-May-94,2.84%
30-Apr-94,2.85%
31-Mar-94,2.74%
28-Feb-94,2.69%
31-Jan-94,2.67%
31-Dec-93,2.70%
30-Nov-93,2.71%
31-Oct-93,2.70%
30-Sep-93,2.73%
31-Aug-93,2.76%
31-Jul-93,2.80%
30-Jun-93,2.79%
31-May-93,2.81%
30-Apr-93,2.82%
31-Mar-93,2.77%
28-Feb-93,2.82%
31-Jan-93,2.85%
31-Dec-92,2.84%
30-Nov-92,2.93%
31-Oct-92,3.00%
30-Sep-92,2.96%
31-Aug-92,2.96%
31-Jul-92,2.97%
30-Jun-92,3.02%
31-May-92,2.97%
30-Apr-92,3.02%
31-Mar-92,3.03%
29-Feb-92,2.98%
31-Jan-92,2.94%
31-Dec-91,3.14%
30-Nov-91,3.17%
31-Oct-91,3.17%
30-Sep-91,3.17%
31-Aug-91,3.14%
31-Jul-91,3.21%
30-Jun-91,3.21%
31-May-91,3.21%
30-Apr-91,3.19%
31-Mar-91,3.25%
28-Feb-91,3.34%
31-Jan-91,3.72%
31-Dec-90,3.68%
30-Nov-90,3.81%
31-Oct-90,3.88%
30-Sep-90,3.75%
31-Aug-90,3.56%
31-Jul-90,3.26%
30-Jun-90,3.24%
31-May-90,3.30%
30-Apr-90,3.38%
31-Mar-90,3.34%
28-Feb-90,3.40%
31-Jan-90,3.28%
31-Dec-89,3.17%
30-Nov-89,3.22%
31-Oct-89,3.12%
30-Sep-89,3.09%
31-Aug-89,3.06%
31-Jul-89,3.16%
30-Jun-89,3.20%
31-May-89,3.27%
30-Apr-89,3.35%
31-Mar-89,3.42%
28-Feb-89,3.38%
31-Jan-89,3.45%
31-Dec-88,3.53%
30-Nov-88,3.56%
