Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,,,,,,,,,,,,,,
DATE,SPX,VIX,(JCJ) January 2008,(KCJ) January 2009,(ICJ) January 2010,(JCJ) January 2011,(KCJ) January 2012, (ICJ-E) JANUARY 2013, (JCJ-E) JANUARY 2014, (KCJ) JANUARY 2015, (ICJ) JANUARY 2016, (JCJ) JANUARY 2017, (KCJ) JANUARY 2018, (ICJ) JANUARY 2019, (JCJ) JANUARY 2020, (KCJ) JANUARY 2020
3-Jan-07,1416.6,12.04,41.28,43.84,,,,,,,,,,,,
4-Jan-07,1418.34,11.51,40.29,43.22,,,,,,,,,,,,
5-Jan-07,1409.71,12.14,41.17,44.66,,,,,,,,,,,,
8-Jan-07,1412.84,12,39.4,42.43,,,,,,,,,,,,
9-Jan-07,1412.11,11.91,40.11,43,,,,,,,,,,,,
10-Jan-07,1414.85,11.47,38.63,41.69,,,,,,,,,,,,
11-Jan-07,1423.82,10.87,37.96,41.37,,,,,,,,,,,,
12-Jan-07,1430.73,10.15,36.86,40.58,,,,,,,,,,,,
16-Jan-07,1431.9,10.74,37.07,40.47,,,,,,,,,,,,
17-Jan-07,1430.62,10.59,37.65,40.98,,,,,,,,,,,,
18-Jan-07,1426.37,10.85,38.75,41.82,,,,,,,,,,,,
19-Jan-07,1430.5,10.4,37.58,41.17,,,,,,,,,,,,
22-Jan-07,1422.95,10.77,38.29,41.31,,,,,,,,,,,,
23-Jan-07,1427.99,10.34,36.62,39.95,,,,,,,,,,,,
24-Jan-07,1440.13,9.89,36.76,39.82,,,,,,,,,,,,
25-Jan-07,1423.9,11.22,36.71,40.26,,,,,,,,,,,,
26-Jan-07,1422.18,11.13,36.59,40.34,,,,,,,,,,,,
29-Jan-07,1420.62,11.45,36.29,39.28,,,,,,,,,,,,
30-Jan-07,1428.82,10.96,35.73,38.51,,,,,,,,,,,,
31-Jan-07,1438.24,10.42,34.82,37.32,,,,,,,,,,,,
1-Feb-07,1445.94,10.31,34.6,37.58,,,,,,,,,,,,
2-Feb-07,1448.39,10.08,34.84,37.9,,,,,,,,,,,,
5-Feb-07,1446.99,10.55,34.9,38.08,,,,,,,,,,,,
6-Feb-07,1448,10.65,35.73,38.07,,,,,,,,,,,,
7-Feb-07,1450.02,10.32,35.21,38.11,,,,,,,,,,,,
8-Feb-07,1448.31,10.44,35.6,38.63,,,,,,,,,,,,
9-Feb-07,1438.06,11.1,36.35,38.78,,,,,,,,,,,,
12-Feb-07,1433.37,11.61,37.32,39.29,,,,,,,,,,,,
13-Feb-07,1444.26,10.34,34.87,37.86,,,,,,,,,,,,
14-Feb-07,1455.3,10.23,34.9,37.84,,,,,,,,,,,,
15-Feb-07,1456.81,10.22,35.09,38.16,,,,,,,,,,,,
16-Feb-07,1455.54,10.02,35.76,38.45,,,,,,,,,,,,
20-Feb-07,1459.68,10.24,37.28,39.95,,,,,,,,,,,,
21-Feb-07,1457.63,10.2,40.94,40.28,,,,,,,,,,,,
22-Feb-07,1456.38,10.18,41.78,41.25,,,,,,,,,,,,
23-Feb-07,1451.19,10.58,40.73,41.24,,,,,,,,,,,,
26-Feb-07,1449.37,11.15,41.36,41.35,,,,,,,,,,,,
